level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std
42,23.13114143375,0.0025274053789908065,2.1035461515935055e-06,0.0,0.0,0.0,0.0,23.13220427375,0.002528896005009301,2.212888258948436e-06,0.0,0.0,0.0,0.0,23.13727857625,0.00253323954611551,2.211148685734375e-06,0.0,0.0,0.0,0.0
43,22.156921195,0.002527412601863034,2.1790835425388907e-06,0.0,0.0,0.0,0.0,22.1579712425,0.002528937758645043,2.2737684052950917e-06,0.0,0.0,0.0,0.0,22.16300687125,0.002533238732255995,2.232556396354866e-06,0.0,0.0,0.0,0.0
44,21.21236680875,0.0025274146089795976,2.2297903435484962e-06,0.0,0.0,0.0,0.0,21.21340469625,0.0025289856593590228,2.3218751900349657e-06,0.0,0.0,0.0,0.0,21.21839558125,0.002533239903859794,2.2701933874709937e-06,0.0,0.0,0.0,0.0
45,20.296930803749998,0.002527425475069322,2.266899231933367e-06,0.0,0.0,0.0,0.0,20.29795581125,0.0025290410190355033,2.365636535989656e-06,0.0,0.0,0.0,0.0,20.302896881875,0.0025332444035448135,2.3297661417145663e-06,0.0,0.0,0.0,0.0
46,19.410067343125,0.0025274466442642735,2.276186355232046e-06,0.0,0.0,0.0,0.0,19.411079263125,0.002529102218220942,2.4281220922673746e-06,0.0,0.0,0.0,0.0,19.415965945,0.0025332427493995053,2.406338214702831e-06,0.0,0.0,0.0,0.0
47,18.551235393749998,0.0025274697500281035,2.290349009489366e-06,0.0,0.0,1.401298464324817e-48,4.429078627359162e-47,18.5522337975,0.0025291633360320703,2.5210083400267995e-06,0.0,0.0,2.1019476964872257e-48,5.423133683637043e-47,18.557061715625,0.002533229872933589,2.4822812713837795e-06,0.0,0.0,2.1019476964872257e-48,5.423133683637042e-47
48,17.719896005,0.0025274914827896284,2.3219972320708866e-06,0.0,0.0,1.6044867416519156e-46,8.597051732146421e-46,17.720881060625,0.002529217714909464,2.624217086853981e-06,0.0,0.0,1.940798373089872e-46,8.48124536314701e-46,17.72564463375,0.0025332083406392485,2.5584370337583426e-06,0.0,0.0,1.5834672646870433e-46,7.99146889329426e-46
49,16.915515674375,0.0025275174387497826,2.359380978929015e-06,0.0,0.0,3.082856621514598e-45,1.186925442602559e-44,16.916485330625,0.002529259279486723,2.6976318330955796e-06,0.0,0.0,3.33088644970009e-45,1.1275522732558516e-44,16.921181653125,0.0025331804731395097,2.6308898572450352e-06,0.0,0.0,2.8341261440969425e-45,1.0770598571436216e-44
50,16.137562045,0.002527551533305086,2.4074596444350734e-06,0.0,0.0,4.494524694475418e-44,1.6654156363148443e-43,16.13851607875,0.002529291322804056,2.7315969512351167e-06,0.0,0.0,4.871193721685929e-44,1.5808442520923973e-43,16.143140110625,0.0025331519924802707,2.6807620443002217e-06,0.0,0.0,4.084364633967544e-44,1.4906914262924356e-43
51,15.38550788125,0.002527590772951953,2.4938146153365896e-06,0.0,0.0,6.441937196316903e-43,2.361190707521196e-42,15.386445362499998,0.0025293254834832623,2.7502815419517826e-06,0.0,0.0,6.97747843692024e-43,2.2228626952638173e-42,15.3909932575,0.002533134600846097,2.7362653230305335e-06,0.0,0.0,5.765292206848379e-43,2.0842692683191895e-42
52,14.658829013125,0.002527628369280137,2.5725151207116395e-06,0.0,0.0,9.234055215050316e-42,3.3673347698380943e-41,14.659749726249999,0.002529368261457421,2.793152791470623e-06,0.0,0.0,9.99215348035465e-42,3.131622138325294e-41,14.664216096875,0.002533139772247523,2.829873747803782e-06,0.0,0.0,8.153097783565545e-42,2.93448240800554e-41
53,13.957003506875001,0.0025276775850215927,2.65173143815293e-06,0.0,0.0,1.3242757859475414e-40,4.819579600811878e-40,13.957907534375,0.0025294341321568936,2.922745743193187e-06,0.0,0.0,1.430985946193971e-40,4.4197150978157474e-40,13.962290786250001,0.002533162082196213,2.946385594160717e-06,0.0,0.0,1.1552588162702972e-40,4.1529374813644916e-40
