level,-kappa-0.01_pressure_bar,-kappa-0.01_theta_mean,-kappa-0.01_theta_std,-kappa-0.1_pressure_bar,-kappa-0.1_theta_mean,-kappa-0.1_theta_std,-kappa-1.0_pressure_bar,-kappa-1.0_theta_mean,-kappa-1.0_theta_std
77,3.3111007479500003,162.03239385635376,0.05796771278358211,3.3114837559828127,162.050413924942,0.08589611375704838,3.3135180772296873,162.05094457000732,0.06480168594009106
78,3.0732499930796875,162.03635904548645,0.06394615962420071,3.0736479194671875,162.05838804611207,0.09528988604803616,3.07556299604375,162.05222462310792,0.06772941035136833
79,2.8478736840187504,162.04056162536622,0.07098336751467371,2.84828804611875,162.0670016355896,0.10558405732568131,2.8500806728562496,162.0536657736206,0.07162728826604062
80,2.6345691612,162.04522601974486,0.07959247894073418,2.6350009232812504,162.0756606427002,0.11655602847110297,2.63666922910625,162.05517810676574,0.07642847764688673
81,2.4329385144921876,162.05018115127564,0.0898003219102597,2.433387866900781,162.08345908210754,0.12807838764666704,2.4349314763234373,162.0566638296509,0.08220022121918547
82,2.2425882644234374,162.05462638290405,0.10136599100687199,2.2430548021,162.08973580459596,0.1400448990071009,2.2444745210335935,162.05784264213563,0.089479533265788
83,2.0631299232359375,162.05739854629516,0.11412353843171627,2.0636126021,162.09430497337343,0.15272615611980453,2.0649100659921875,162.05794078697204,0.09859913972656444
84,1.89418077488125,162.05755257766722,0.12787904497780422,1.8946778097617187,162.09713253936766,0.16597151155530088,1.895854723709375,162.05596979927063,0.1093229403279747
85,1.7353651833968748,162.05525452667237,0.14162398147778055,1.735873708865625,162.09820745681762,0.17917438587329446,1.7369317636250001,162.051619528656,0.12138832987345183
86,1.586315132446875,162.0518455117035,0.1548906199964176,1.5868311511054687,162.09775101142884,0.1918554334614653,1.5877725364875,162.04561739082337,0.13539184660100967
87,1.4466695438062498,162.04914634414672,0.16770273539128217,1.4471875679007813,162.0964440311432,0.2027674161670094,1.4480168157203126,162.03953403038025,0.15176807630797495
88,1.316071282384375,162.0490987474823,0.17949402167694842,1.316584432478125,162.094785966568,0.2114512994403707,1.3173097533484375,162.03463931236266,0.16906033644191193
89,1.1941637953070312,162.05283750930786,0.19013724078528585,1.1946644205589845,162.0922321761322,0.21926342851599448,1.1952971973824218,162.0308902005005,0.18548074572593873
90,1.0805891302875,162.05652840866088,0.19949310381002913,1.0810696094246093,162.0870554788971,0.22661819595408644,1.0816218616265625,162.02679392776488,0.20022897546925397
91,0.9749880693835937,162.05577211112976,0.2071028199860286,0.9754420359449218,162.07569472091674,0.23149077482431082,0.9759242717183594,162.0190331894684,0.2120386317940488
92,0.8770027875773437,162.0488452178192,0.21520200764017777,0.8774260012996093,162.0571331932068,0.2336801162042822,0.8778465312484375,162.00656331794738,0.22175751077630815
93,0.786280774909375,162.03227129112244,0.22622094726674383,0.7866710557191405,162.0306854031372,0.23611936203355913,0.7870374153621094,161.98704757316588,0.22991653212913699
94,0.702480089171875,162.0143173135376,0.24430920473943524,0.7028363075679688,162.00502411254882,0.24500034009669927,0.703156154865625,161.969805233078,0.24111910031635161
95,0.6252635016537109,161.9735230178833,0.28311740938192276,0.6255837644322266,161.95184647132874,0.27123792846815004,0.6258655098166016,161.9292744759369,0.27174955908950527
96,0.5543257769507812,162.03870295539855,0.32787197510969396,0.554607263863086,162.0022305419922,0.3158604934667624,0.55485651643125,161.97797078804015,0.32985260497074326
97,0.489384041015625,162.1981290409851,0.36389164935631674,0.48962429884375,162.14647781295776,0.357602949630405,0.48984068771972655,162.1036221193695,0.4048858526741504
98,0.430166621994336,162.57615891983033,0.4254982731395826,0.43036394886855467,162.50295128036498,0.423399848621274,0.4305458007285156,162.45438033180235,0.51103814771913
99,0.3765404282517578,164.02520485076903,0.6116134761643801,0.3766899749982422,163.90818973777772,0.6147944362863855,0.3768478665183594,163.90557959716796,0.7129317811898728
