pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s
3.58174101e-01,1.22039270e+02,5.76309254e+14,2.30523701e+15,1.44077313e+16,5.76309254e+16,3.48144883e+06,1.39257953e+07,8.70362207e+07,3.48144883e+08
3.64577558e-01,1.22658708e+02,4.47905811e+14,1.79162325e+15,1.11976453e+16,4.47905811e+16,2.98279200e+06,1.19311680e+07,7.45697999e+07,2.98279200e+08
3.71095497e-01,1.23281291e+02,3.48567995e+14,1.39427198e+15,8.71419987e+15,3.48567995e+16,2.55771384e+06,1.02308554e+07,6.39428461e+07,2.55771384e+08
3.77729964e-01,1.23907034e+02,2.71615875e+14,1.08646350e+15,6.79039687e+15,2.71615875e+16,2.19505356e+06,8.78021425e+06,5.48763391e+07,2.19505356e+08
3.84483042e-01,1.24535952e+02,2.11927228e+14,8.47708911e+14,5.29818070e+15,2.11927228e+16,1.88538755e+06,7.54155019e+06,4.71346887e+07,1.88538755e+08
3.91356852e-01,1.25168063e+02,1.65569175e+14,6.62276700e+14,4.13922937e+15,1.65569175e+16,1.62075235e+06,6.48300941e+06,4.05188088e+07,1.62075235e+08
3.98353552e-01,1.25803383e+02,1.29518110e+14,5.18072439e+14,3.23795274e+15,1.29518110e+16,1.39441286e+06,5.57765145e+06,3.48603215e+07,1.39441286e+08
4.05475340e-01,1.26441927e+02,1.01446479e+14,4.05785914e+14,2.53616196e+15,1.01446479e+16,1.20066813e+06,4.80267250e+06,3.00167031e+07,1.20066813e+08
4.12724452e-01,1.27083712e+02,7.95602457e+13,3.18240983e+14,1.98900614e+15,7.95602457e+15,1.03468860e+06,4.13875439e+06,2.58672149e+07,1.03468860e+08
4.20103164e-01,1.27728755e+02,6.24748361e+13,2.49899344e+14,1.56187090e+15,6.24748361e+15,8.92379593e+05,3.56951837e+06,2.23094898e+07,8.92379593e+07
4.27613792e-01,1.28377072e+02,4.91203246e+13,1.96481298e+14,1.22800811e+15,4.91203246e+15,7.70266660e+05,3.08106664e+06,1.92566665e+07,7.70266660e+07
4.35258696e-01,1.29028679e+02,3.86688860e+13,1.54675544e+14,9.66722150e+14,3.86688860e+15,6.65399236e+05,2.66159694e+06,1.66349809e+07,6.65399236e+07
4.43040277e-01,1.29683594e+02,3.04792078e+13,1.21916831e+14,7.61980195e+14,3.04792078e+15,5.75269643e+05,2.30107857e+06,1.43817411e+07,5.75269643e+07
4.50960976e-01,1.30341833e+02,2.40538465e+13,9.62153859e+13,6.01346162e+14,2.40538465e+15,4.97744900e+05,1.99097960e+06,1.24436225e+07,4.97744900e+07
4.59023283e-01,1.31003413e+02,1.90064724e+13,7.60258897e+13,4.75161810e+14,1.90064724e+15,4.31009296e+05,1.72403718e+06,1.07752324e+07,4.31009296e+07
4.67229727e-01,1.31668351e+02,1.50366788e+13,6.01467151e+13,3.75916970e+14,1.50366788e+15,3.73515966e+05,1.49406386e+06,9.33789915e+06,3.73515966e+07
4.75582888e-01,1.32336664e+02,1.19105838e+13,4.76423351e+13,2.97764595e+14,1.19105838e+15,3.23946051e+05,1.29578420e+06,8.09865127e+06,3.23946051e+07
4.84085386e-01,1.33008370e+02,9.44587552e+12,3.77835021e+13,2.36146888e+14,9.44587552e+14,2.81174203e+05,1.12469681e+06,7.02935507e+06,2.81174203e+07
4.92739893e-01,1.33683484e+02,7.50026770e+12,3.00010708e+13,1.87506692e+14,7.50026770e+14,2.44239445e+05,9.76957780e+05,6.10598613e+06,2.44239445e+07
5.01549125e-01,1.34362026e+02,5.96257746e+12,2.38503099e+13,1.49064437e+14,5.96257746e+14,2.12320526e+05,8.49282105e+05,5.30801316e+06,2.12320526e+07
5.10515849e-01,1.35044011e+02,4.74582138e+12,1.89832855e+13,1.18645534e+14,4.74582138e+14,1.84715061e+05,7.38860246e+05,4.61787654e+06,1.84715061e+07
5.19642881e-01,1.35729458e+02,3.78186654e+12,1.51274662e+13,9.45466636e+13,3.78186654e+14,1.60821866e+05,6.43287464e+05,4.02054665e+06,1.60821866e+07
5.28933087e-01,1.36418384e+02,3.01728167e+12,1.20691267e+13,7.54320417e+13,3.01728167e+14,1.40125982e+05,5.60503927e+05,3.50314954e+06,1.40125982e+07
5.38389383e-01,1.37110807e+02,2.41011493e+12,9.64045973e+12,6.02528733e+13,2.41011493e+14,1.22185973e+05,4.88743892e+05,3.05464933e+06,1.22185973e+07
5.48014739e-01,1.37806745e+02,1.92738871e+12,7.70955482e+12,4.81847176e+13,1.92738871e+14,1.06623144e+05,4.26492577e+05,2.66557861e+06,1.06623144e+07
5.57812179e-01,1.38506215e+02,1.54314931e+12,6.17259725e+12,3.85787328e+13,1.54314931e+14,9.31123774e+04,3.72449510e+05,2.32780943e+06,9.31123774e+06
5.67784777e-01,1.39209235e+02,1.23694706e+12,4.94778823e+12,3.09236764e+13,1.23694706e+14,8.13743433e+04,3.25497373e+05,2.03435858e+06,8.13743433e+06
5.77935666e-01,1.39915824e+02,9.92650232e+11,3.97060093e+12,2.48162558e+13,9.92650232e+13,7.11688737e+04,2.84675495e+05,1.77922184e+06,7.11688737e+06
5.88268033e-01,1.40625999e+02,7.97518608e+11,3.19007443e+12,1.99379652e+13,7.97518608e+13,6.22893177e+04,2.49157271e+05,1.55723294e+06,6.22893177e+06
5.98785123e-01,1.41339779e+02,6.41478816e+11,2.56591526e+12,1.60369704e+13,6.41478816e+13,5.45577335e+04,2.18230934e+05,1.36394334e+06,5.45577335e+06
6.09490238e-01,1.42057181e+02,5.16556964e+11,2.06622786e+12,1.29139241e+13,5.16556964e+13,4.78207870e+04,1.91283148e+05,1.19551967e+06,4.78207870e+06
6.20386740e-01,1.42778225e+02,4.16433859e+11,1.66573544e+12,1.04108465e+13,4.16433859e+13,4.19462525e+04,1.67785010e+05,1.04865631e+06,4.19462525e+06
6.31478050e-01,1.43502929e+02,3.36095946e+11,1.34438378e+12,8.40239865e+12,3.36095946e+13,3.68200239e+04,1.47280096e+05,9.20500598e+05,3.68200239e+06
6.42767651e-01,1.44231312e+02,2.71561044e+11,1.08624417e+12,6.78902609e+12,2.71561044e+13,3.23435608e+04,1.29374243e+05,8.08589019e+05,3.23435608e+06
6.54259089e-01,1.44963391e+02,2.19662621e+11,8.78650482e+11,5.49156551e+12,2.19662621e+13,2.84317034e+04,1.13726813e+05,7.10792584e+05,2.84317034e+06
6.65955970e-01,1.45699186e+02,1.77879910e+11,7.11519640e+11,4.44699775e+12,1.77879910e+13,2.50108033e+04,1.00043213e+05,6.25270083e+05,2.50108033e+06
6.77861970e-01,1.46438716e+02,1.44203983e+11,5.76815933e+11,3.60509958e+12,1.44203983e+13,2.20171221e+04,8.80684883e+04,5.50428052e+05,2.20171221e+06
6.89980825e-01,1.47181999e+02,1.17032048e+11,4.68128192e+11,2.92580120e+12,1.17032048e+13,1.93954586e+04,7.75818342e+04,4.84886464e+05,1.93954586e+06
7.02316343e-01,1.47929056e+02,9.50839329e+10,3.80335731e+11,2.37709832e+12,9.50839329e+12,1.70979718e+04,6.83918874e+04,4.27449296e+05,1.70979718e+06
7.14872395e-01,1.48679904e+02,7.73360263e+10,3.09344105e+11,1.93340066e+12,7.73360263e+12,1.50831707e+04,6.03326828e+04,3.77079268e+05,1.50831707e+06
7.27652925e-01,1.49434563e+02,6.29689672e+10,2.51875869e+11,1.57422418e+12,6.29689672e+12,1.33150458e+04,5.32601834e+04,3.32876146e+05,1.33150458e+06
7.40661946e-01,1.50193053e+02,5.13261764e+10,2.05304706e+11,1.28315441e+12,5.13261764e+12,1.17623238e+04,4.70492952e+04,2.94058095e+05,1.17623238e+06
7.53903543e-01,1.50955392e+02,4.18809495e+10,1.67523798e+11,1.04702374e+12,4.18809495e+12,1.03978255e+04,4.15913020e+04,2.59945638e+05,1.03978255e+06
7.67381874e-01,1.51721601e+02,3.42103125e+10,1.36841250e+11,8.55257813e+11,3.42103125e+12,9.19791384e+03,3.67916554e+04,2.29947846e+05,9.19791384e+05
7.81101172e-01,1.52491699e+02,2.79742300e+10,1.11896920e+11,6.99355749e+11,2.79742300e+12,8.14201815e+03,3.25680726e+04,2.03550454e+05,8.14201815e+05
7.95065744e-01,1.53265706e+02,2.28990514e+10,9.15962055e+10,5.72476284e+11,2.28990514e+12,7.21222418e+03,2.88488967e+04,1.80305604e+05,7.21222418e+05
8.09279975e-01,1.54043641e+02,1.87643178e+10,7.50572711e+10,4.69107944e+11,1.87643178e+12,6.39292051e+03,2.55716820e+04,1.59823013e+05,6.39292051e+05
8.23748329e-01,1.54825525e+02,1.53922356e+10,6.15689422e+10,3.84805889e+11,1.53922356e+12,5.67049337e+03,2.26819735e+04,1.41762334e+05,5.67049337e+05
8.38475350e-01,1.55611378e+02,1.26392693e+10,5.05570771e+10,3.15981732e+11,1.26392693e+12,5.03306309e+03,2.01322524e+04,1.25826577e+05,5.03306309e+05
8.53465660e-01,1.56401220e+02,1.03894198e+10,4.15576793e+10,2.59735496e+11,1.03894198e+12,4.47025627e+03,1.78810251e+04,1.11756407e+05,4.47025627e+05
8.68723969e-01,1.57195070e+02,8.54884460e+09,3.41953784e+10,2.13721115e+11,8.54884460e+11,3.97300884e+03,1.58920354e+04,9.93252209e+04,3.97300884e+05
8.84255066e-01,1.57992950e+02,7.04154711e+09,2.81661884e+10,1.76038678e+11,7.04154711e+11,3.53339552e+03,1.41335821e+04,8.83348880e+04,3.53339552e+05
9.00063830e-01,1.58794880e+02,5.80592004e+09,2.32236802e+10,1.45148001e+11,5.80592004e+11,3.14448225e+03,1.25779290e+04,7.86120562e+04,3.14448225e+05
9.16155223e-01,1.59600880e+02,4.79196981e+09,1.91678793e+10,1.19799245e+11,4.79196981e+11,2.80019823e+03,1.12007929e+04,7.00049557e+04,2.80019823e+05
9.32534299e-01,1.60410971e+02,3.95908600e+09,1.58363440e+10,9.89771500e+10,3.95908600e+11,2.49522500e+03,9.98090000e+03,6.23806250e+04,2.49522500e+05
9.49206201e-01,1.61225174e+02,3.27424690e+09,1.30969876e+10,8.18561726e+10,3.27424690e+11,2.22490021e+03,8.89960084e+03,5.56225053e+04,2.22490021e+05
9.66176164e-01,1.62043510e+02,2.71057447e+09,1.08422979e+10,6.77643618e+10,2.71057447e+11,1.98513403e+03,7.94053613e+03,4.96283508e+04,1.98513403e+05
