pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
3.03113550e-01,1.14448452e+02,1.58438847e+16,6.33755388e+16,3.96097117e+17,1.58438847e+18,3.70313375e+07,1.48125350e+08,9.25783438e+08,3.70313375e+09,1.70961159e+01,1.10150864e-01,1.02788338e-01
3.10197859e-01,1.15206404e+02,1.11559218e+16,4.46236873e+16,2.78898046e+17,1.11559218e+18,2.98434059e+07,1.19373624e+08,7.46085147e+08,2.98434059e+09,1.62994942e+01,1.32874881e-01,1.22635277e-01
3.17447741e-01,1.15969376e+02,7.87372572e+15,3.14949029e+16,1.96843143e+17,7.87372572e+17,2.40873931e+07,9.63495725e+07,6.02184828e+08,2.40873931e+09,1.55297465e+01,1.61683366e-01,1.47235107e-01
3.24867066e-01,1.16737400e+02,5.57030981e+15,2.22812392e+16,1.39257745e+17,5.57030981e+17,1.94710462e+07,7.78841846e+07,4.86776154e+08,1.94710462e+09,1.47863222e+01,1.98651634e-01,1.77941024e-01
3.32459793e-01,1.17510511e+02,3.94998938e+15,1.57999575e+16,9.87497345e+16,3.94998938e+17,1.57631320e+07,6.30525280e+07,3.94078300e+08,1.57631320e+09,1.40686745e+01,2.46762729e-01,2.16555031e-01
3.40229977e-01,1.18288742e+02,2.80752298e+15,1.12300919e+16,7.01880746e+16,2.80752298e+17,1.27804215e+07,5.11216862e+07,3.19510539e+08,1.27804215e+09,1.33762609e+01,3.10424691e-01,2.65500834e-01
3.48181763e-01,1.19072127e+02,2.00011459e+15,8.00045836e+15,5.00028648e+16,2.00011459e+17,1.03775064e+07,4.15100258e+07,2.59437661e+08,1.03775064e+09,1.27085430e+01,3.96371989e-01,3.28071631e-01
3.56319397e-01,1.19860701e+02,1.42818344e+15,5.71273377e+15,3.57045861e+16,1.42818344e+17,8.43882084e+06,3.37552834e+07,2.10970521e+08,8.43882084e+08,1.20649866e+01,5.15341836e-01,4.08800045e-01
3.64647222e-01,1.20654496e+02,1.02212522e+15,4.08850089e+15,2.55531305e+16,1.02212522e+17,6.87238099e+06,2.74895240e+07,1.71809525e+08,6.87238099e+08,1.14450618e+01,6.85385322e-01,5.14003452e-01
3.73169684e-01,1.21453549e+02,7.33176762e+14,2.93270705e+15,1.83294191e+16,7.33176762e+16,5.60486564e+06,2.24194625e+07,1.40121641e+08,5.60486564e+08,1.08482428e+01,9.39150073e-01,6.52673344e-01
3.81891330e-01,1.22257893e+02,5.27097889e+14,2.10839156e+15,1.31774472e+16,5.27097889e+16,4.57774439e+06,1.83109776e+07,1.14443610e+08,4.57774439e+08,1.02740069e+01,1.34159277e+00,8.37863812e-01
3.90816818e-01,1.23067564e+02,3.79791663e+14,1.51916665e+15,9.49479156e+15,3.79791663e+16,3.74422634e+06,1.49769054e+07,9.36056584e+07,3.74422634e+08,9.72183416e+00,2.04138183e+00,1.08930199e+00
3.99950910e-01,1.23882598e+02,2.74261438e+14,1.09704575e+15,6.85653595e+15,2.74261438e+16,3.06685161e+06,1.22674064e+07,7.66712903e+07,3.06685161e+08,9.19121919e+00,3.44932690e+00,1.43731442e+00
4.09298482e-01,1.24703029e+02,1.98491947e+14,7.93967790e+14,4.96229869e+15,1.98491947e+16,2.51558773e+06,1.00623509e+07,6.28896932e+07,2.51558773e+08,8.68170907e+00,7.08976982e+00,1.93167036e+00
4.18864524e-01,1.25528894e+02,1.43970513e+14,5.75882050e+14,3.59926282e+15,1.43970513e+16,2.06632273e+06,8.26529092e+06,5.16580683e+07,2.06632273e+08,8.19302073e+00,1.94105178e+01,2.67286894e+00
4.28654141e-01,1.26360228e+02,1.04652705e+14,4.18610819e+14,2.61631762e+15,1.04652705e+16,1.69967073e+06,6.79868291e+06,4.24917682e+07,1.69967073e+08,7.72502187e+00,2.98919378e+01,3.91791956e+00
4.38672559e-01,1.27197067e+02,7.62372785e+13,3.04949114e+14,1.90593196e+15,7.62372785e+15,1.40002371e+06,5.60009486e+06,3.50005929e+07,1.40002371e+08,7.27710756e+00,2.97629777e+01,6.38480634e+00
4.48925126e-01,1.28039449e+02,5.56567894e+13,2.22627158e+14,1.39141973e+15,5.56567894e+15,1.15479786e+06,4.61919146e+06,2.88699466e+07,1.15479786e+08,6.84831465e+00,3.60942323e+01,1.15334039e+01
4.59417313e-01,1.28887410e+02,4.07189536e+13,1.62875814e+14,1.01797384e+15,4.07189536e+15,9.53833534e+05,3.81533413e+06,2.38458383e+07,9.53833534e+07,6.43804737e+00,5.00460422e+01,2.57156952e+01
4.70154722e-01,1.29740986e+02,2.98535965e+13,1.19414386e+14,7.46339913e+14,2.98535965e+15,7.88917001e+05,3.15566800e+06,1.97229250e+07,7.88917001e+07,6.04604580e+00,6.81583172e+01,8.34674589e+01
4.81143084e-01,1.30600215e+02,2.19337170e+13,8.77348680e+13,5.48342925e+14,2.19337170e+15,6.53398693e+05,2.61359477e+06,1.63349673e+07,6.53398693e+07,5.67200353e+00,9.02084493e+01,3.51021040e+02
4.92388263e-01,1.31465135e+02,1.61486907e+13,6.45947628e+13,4.03717267e+14,1.61486907e+15,5.41888028e+05,2.16755211e+06,1.35472007e+07,5.41888028e+07,5.31533366e+00,1.26156912e+02,2.20008511e+03
5.03896263e-01,1.32335782e+02,1.19142283e+13,4.76569131e+13,2.97855707e+14,1.19142283e+15,4.50009160e+05,1.80003664e+06,1.12502290e+07,4.50009160e+07,4.97530435e+00,1.88124063e+02,2.75027776e+06
