level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std,-nu-1000.0_pressure_bar,-nu-1000.0_H2O_vapor_mean,-nu-1000.0_H2O_vapor_std,-nu-1000.0_H2O_l__mean,-nu-1000.0_H2O_l__std,-nu-1000.0_H2O_l_p__mean,-nu-1000.0_H2O_l_p__std
30,36.633422175,0.024988750494085252,5.0553321454887105e-05,0.0,0.0,8.76292185576274e-43,1.4609997184516245e-42,36.64445528125,0.024971322037279607,6.981305638399767e-05,0.0,0.0,5.895633983507551e-43,3.362037337281376e-42,36.65226589625,0.024978607130236925,6.167178219330526e-05,0.0,0.0,8.669875637731573e-43,3.769225419595781e-42,37.036060469999995,0.025035792398266494,1.0947946559519465e-05,0.0,0.0,1.1770907100328463e-45,6.684854631992127e-45,39.881666875,0.024964551815763115,8.527558922004149e-10,0.0,0.0,0.0,0.0,43.91306401,0.02496456541121006,0.0,0.0,0.0,0.0,0.0
31,35.25563991125,0.024989164873026312,5.315439313032673e-05,0.0,0.0,1.2723081699695624e-41,2.091205840327455e-41,35.26638208875,0.024970732249319554,7.187588782266133e-05,0.0,0.0,8.579994952931315e-42,4.891140513068359e-41,35.274212363749996,0.024978516270406544,6.360684162794527e-05,0.0,0.0,1.2604775675546535e-41,5.512776794743994e-41,35.66651225375,0.025066857903264465,2.3723719396113806e-05,0.0,0.0,1.725909253585661e-44,9.70949819309125e-44,38.5715395,0.024964550510048866,0.0,0.0,0.0,0.0,0.0,42.665558499999996,0.024964564643800258,9.167847843373463e-10,0.0,0.0,0.0,0.0
32,33.915271552499995,0.0249894624883309,5.452385174614439e-05,0.0,0.0,1.84842182158182e-40,2.9986741767325642e-40,33.92573084125,0.02497044191788882,7.43846254684351e-05,0.0,0.0,1.2492785653900777e-40,7.1236419653243544e-40,33.933569238749996,0.024978123417124153,6.702878329576668e-05,0.0,0.0,1.8338927877596071e-40,8.075823915245178e-40,34.33402538625,0.02511580864712596,4.4294531465808414e-05,0.0,0.0,2.506565621568695e-43,1.4081851619702934e-42,37.2967245,0.024964550510048866,0.0,0.0,0.0,0.0,0.0,41.453381875,0.02496456354856491,0.0,0.0,0.0,0.0,0.0
33,32.61170188,0.02498954514786601,5.4007263742358844e-05,0.0,0.0,2.6871616164456e-39,4.308353519812402e-39,32.62188307875,0.024970381528139116,7.681347493793936e-05,0.0,0.0,1.819920814217865e-39,1.0386508563116834e-38,32.629720658749996,0.024977381974458694,6.887571793933284e-05,0.0,0.0,2.6700516823221815e-39,1.1848682421929965e-38,33.037947761249995,0.025187237513251602,7.54778548212698e-05,0.0,0.0,3.638684459985965e-42,2.041829859917948e-41,36.056453250000004,0.024964548929594457,6.678245274156941e-10,0.0,0.0,0.0,0.0,40.275532999999996,0.024964561759494245,3.628084205133367e-10,0.0,0.0,0.0,0.0
34,31.344319223750002,0.024989394278265537,5.3018548501337516e-05,0.0,0.0,3.9090862648529977e-38,6.202444633621595e-38,31.35422657375,0.024970506004057823,7.881793513732953e-05,0.0,0.0,2.6525635916932323e-38,1.5159746993798297e-37,31.362054065,0.024976715311408042,6.794001240575724e-05,0.0,0.0,3.8901242370716187e-38,1.7410113563763954e-37,31.777619815,0.02528120153117925,0.00011196417128824338,0.0,0.0,5.282734831895318e-41,2.9598283029872432e-40,34.84997475,0.024964548647403717,0.0,0.0,0.0,0.0,0.0,39.131041,0.02496456168591976,0.0,0.0,0.0,0.0,0.0
35,30.112514065,0.024989183326251805,5.411322077253502e-05,0.0,0.0,5.6903291611368435e-37,8.946614561536521e-37,30.122152325,0.02497066430840641,7.95503573182931e-05,0.0,0.0,3.868092696876669e-37,2.2148133889376482e-36,30.12996012375,0.024976255756802856,6.643312222966567e-05,0.0,0.0,5.671431119193708e-37,2.5619155012374734e-36,30.55236982625,0.025389975724741817,0.00014121834394370016,0.0,0.0,7.670650964054828e-40,4.2902742878644915e-39,33.676553125,0.02496454864554107,5.887255307018429e-11,0.0,0.0,0.0,0.0,38.018963625,0.024964559823274612,0.0,0.0,0.0,0.0,0.0
36,28.91567958125,0.024989305030554534,5.789658415387153e-05,0.0,0.0,8.288368953915774e-36,1.2928789848793205e-35,28.92505302625,0.024970673190429806,7.930148151685343e-05,0.0,0.0,5.643495785905197e-36,3.2387351780853016e-35,28.932833733749998,0.024976074824109674,6.648643471485413e-05,0.0,0.0,8.273524563276172e-36,3.77514821345183e-35,29.361524842500003,0.025497665810398758,0.0001646886486497219,0.0,0.0,1.1139013330516076e-38,6.218081842444972e-38,32.535468375,0.024964546801522373,1.7590905992720864e-10,0.0,0.0,0.0,0.0,36.93838325,0.024964559823274612,0.0,0.0,0.0,0.0,0.0
37,27.75321413375,0.024989871639758347,6.248605614425604e-05,0.0,0.0,1.207968805184316e-34,1.8715788332451202e-34,27.762326765,0.024970464417710902,7.930599226431886e-05,0.0,0.0,8.23778047072586e-35,4.739841013320567e-34,27.77007276,0.02497608780581504,6.741617682031027e-05,0.0,0.0,1.2076393380581098e-34,5.570220430194969e-34,28.20442010625,0.025603522889316083,0.00017123647186074905,0.0,0.0,1.6176379679638763e-37,9.010912342467853e-37,31.4260175,0.024964546784758568,0.0,0.0,0.0,0.0,0.0,35.888410125,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
38,26.624518666249998,0.02499081823602319,6.698255000659801e-05,0.0,0.0,1.7614942014996518e-33,2.7136240515235283e-33,26.633374947500002,0.024970109327696263,8.01284614356446e-05,0.0,0.0,1.2030075877112282e-33,6.941512557399542e-33,26.6410773625,0.024976204408332706,6.885449065215174e-05,0.0,0.0,1.763655527633471e-33,8.228854779175244e-33,27.08040336375,0.02570382636319846,0.0001677977039525134,0.0,0.0,2.3492239028105165e-36,1.30558900050673e-35,30.3475105,0.024964546781033277,8.321668171766651e-11,0.0,0.0,0.0,0.0,34.86817825,0.024964557960629463,0.0,0.0,0.0,0.0,0.0
39,25.52899741375,0.02499179217405617,7.185388113730272e-05,0.0,0.0,2.5699634766295824e-32,3.9402485937301186e-32,25.537601490000004,0.024970007203519343,8.314379901914937e-05,0.0,0.0,1.7575621128343067e-32,1.0172130413277544e-31,25.545253498749997,0.024976325360126794,7.069098232466739e-05,0.0,0.0,2.5769098401481825e-32,1.2170266058576062e-31,25.988850798749997,0.025775492281652986,0.00015463204831765045,0.0,0.0,3.4116698176459885e-35,1.8912676834464426e-34,29.299271124999997,0.02496454492677003,9.301576928905294e-11,0.0,0.0,0.0,0.0,33.87684675,0.024964556138962507,2.732189975426927e-10,0.0,0.0,0.0,0.0
