level,-kappa-0.01_pressure_bar,-kappa-0.01_H2S_mean,-kappa-0.01_H2S_std,-kappa-0.01_NH4SH_s__mean,-kappa-0.01_NH4SH_s__std,-kappa-0.01_NH4SH_s_p__mean,-kappa-0.01_NH4SH_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_H2S_mean,-kappa-0.1_H2S_std,-kappa-0.1_NH4SH_s__mean,-kappa-0.1_NH4SH_s__std,-kappa-0.1_NH4SH_s_p__mean,-kappa-0.1_NH4SH_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_H2S_mean,-kappa-1.0_H2S_std,-kappa-1.0_NH4SH_s__mean,-kappa-1.0_NH4SH_s__std,-kappa-1.0_NH4SH_s_p__mean,-kappa-1.0_NH4SH_s_p__std
20,52.66660257665,0.00022594650874700165,1.7653486144005208e-05,0.0,0.0,1.6021528782308134e-22,8.082811179105492e-22,52.666425198925,0.0002265341131623427,1.72348156204935e-05,0.0,0.0,6.608725875913778e-23,3.469971747212949e-22,52.673334049425,0.00027947124923142835,2.7838514438243103e-05,0.0,0.0,2.750277640627464e-22,1.2596367593946824e-21
21,50.878841872175,0.00022631373766205797,1.8172748073860115e-05,0.0,0.0,9.854890708454826e-22,4.683927105265861e-21,50.8786466664,0.00022691557307996844,1.7693827530165037e-05,0.0,0.0,4.0866627890007668e-22,2.057292265227941e-21,50.8858380079,0.0002808778586798144,2.9091564633900687e-05,0.0,0.0,1.6945480515291414e-21,7.288644324766945e-21
22,49.13485372755,0.00022668591542205832,1.867475798391824e-05,0.0,0.0,5.858797521703728e-21,2.622510815234795e-20,49.134641388125,0.0002273000827190117,1.8155305649653165e-05,0.0,0.0,2.4421572444798366e-21,1.1778626094429932e-20,49.142107984525005,0.00028230754380238065,3.0312714964142747e-05,0.0,0.0,1.0086392021346974e-20,4.073361218365966e-20
23,47.433989001,0.00022706220046289673,1.914770140559152e-05,0.0,0.0,3.3608527517401556e-20,1.4168634572912228e-19,47.4337603449,0.00022769545016992196,1.8640731945065865e-05,0.0,0.0,1.407993075008507e-20,6.502842363243029e-20,47.441495203524994,0.0002837655138193077,3.151636208174347e-05,0.0,0.0,5.789899783753854e-20,2.196397196449764e-19
24,45.775601684849995,0.00022744430984501378,1.9592198946112085e-05,0.0,0.0,1.8570593757672163e-19,7.376947835090227e-19,45.775357674675,0.00022810597369272726,1.9159287251930288e-05,0.0,0.0,7.817923012514235e-20,3.4568728996916674e-19,45.783354032774994,0.0002852541399948677,3.271463992645174e-05,0.0,0.0,3.1995069003672075e-19,1.1414912424064593e-18
25,44.159049066399994,0.00022783618018271226,2.0018380660582408e-05,0.0,0.0,9.866539922052333e-19,3.696342970684327e-18,44.1587907566,0.00022853358173764718,1.971311662458525e-05,0.0,0.0,4.173160693615228e-19,1.7667647765153853e-18,44.167041936475,0.0002867821575988637,3.392125579656546e-05,0.0,0.0,1.6989162998530237e-18,5.712115546615054e-18
26,42.583691592150004,0.00022824251667152566,2.0437145616385172e-05,0.0,0.0,5.031227068473946e-18,1.7799352028189596e-17,42.58342019115,0.00022897852243069792,2.029792253124677e-05,0.0,0.0,2.137575637274375e-18,8.66799159372631e-18,42.591919535125,0.0002883907325592736,3.517603690453631e-05,0.0,0.0,8.651997452178331e-18,2.7493695046398088e-17
27,41.048893004625,0.00022866819595306878,2.0856569602864406e-05,0.0,0.0,2.457782753968479e-17,8.225123139705685e-17,41.0486098336625,0.00022943641308498626,2.0890698934006356e-05,0.0,0.0,1.0486854959726885e-17,4.07590342157061e-17,41.0573508172,0.00029012868330362837,3.654490920122169e-05,0.0,0.0,4.217683035429057e-17,1.2714237392052066e-16
28,39.55402034315,0.00022911815181738348,2.128351481429501e-05,0.0,0.0,1.148029251970351e-16,3.6420512655768124e-16,39.5537267796125,0.00022990303094004048,2.147372665745323e-05,0.0,0.0,4.9182586950239434e-17,1.8340384961968476e-16,39.56270281275,0.000291953973431373,3.801964487848946e-05,0.0,0.0,1.9642001441569654e-16,5.641598859750991e-16
29,38.0984439592,0.0002295969918744231,2.1722536610688613e-05,0.0,0.0,5.117703083691295e-16,1.5429646280602286e-15,38.098141420474995,0.00023037454169112608,2.203369973332772e-05,0.0,0.0,2.2008439847898195e-16,7.884404547946611e-16,38.107345088425,0.00029383048140844037,3.955550066663262e-05,0.0,0.0,8.721517972963676e-16,2.3983082490985434e-15
30,36.6815374714875,0.00023010966130983433,2.2178294853538358e-05,0.0,0.0,2.17310731287148e-15,6.244318171097386e-15,36.681227409725,0.00023084720274411667,2.255637950962476e-05,0.0,0.0,9.378848623715291e-16,3.2329329600921387e-15,36.69065039265,0.00029576067073612647,4.113693590824799e-05,0.0,0.0,3.684964751892513e-15,9.750739791796398e-15
31,35.302677879925,0.00023066210613047588,2.2658569795779945e-05,0.0,0.0,8.773009858272399e-15,2.410028457634494e-14,35.3023617270375,0.00023131846835523903,2.3031851423031356e-05,0.0,0.0,3.799024274673702e-15,1.2623717164707828e-14,35.311994930750004,0.0002977653732532781,4.277272569674485e-05,0.0,0.0,1.478610090800126e-14,3.783957398949977e-14
32,33.9612455454375,0.00023126155548488896,2.3176349777850726e-05,0.0,0.0,3.3610071083735946e-14,8.856023512412482e-14,33.96092466885,0.00023178942021833792,2.346128930879961e-05,0.0,0.0,1.4600057779018848e-14,4.686437232775453e-14,33.970758278812504,0.00029987057479986107,4.447677865328365e-05,0.0,0.0,5.62353319482912e-14,1.3985874010093696e-13
33,32.6566242074125,0.00023191551903910295,2.3746486431712038e-05,0.0,0.0,1.219719421273594e-13,3.093135523420502e-13,32.6562999168625,0.00023226776523813897,2.386684074754176e-05,0.0,0.0,5.3139871644543623e-14,1.6514791112506905e-13,32.6663237048625,0.0003021076007260854,4.625951996488832e-05,0.0,0.0,2.0233895577053842e-13,4.912162432570045e-13
