level,-nu-0.01_pressure_bar,-nu-0.01_theta_mean,-nu-0.01_theta_std,-nu-0.1_pressure_bar,-nu-0.1_theta_mean,-nu-0.1_theta_std,-nu-1.0_pressure_bar,-nu-1.0_theta_mean,-nu-1.0_theta_std,-nu-10.0_pressure_bar,-nu-10.0_theta_mean,-nu-10.0_theta_std,-nu-50.0_pressure_bar,-nu-50.0_theta_mean,-nu-50.0_theta_std,-nu-100.0_pressure_bar,-nu-100.0_theta_mean,-nu-100.0_theta_std
54,12.6854709775,162.1513556213379,0.032136298677930955,12.692393917499999,162.15596635437012,0.02628469033358664,12.6990381075,162.1848465423584,0.028558791750444543,14.22921296375,172.290020401001,0.03778954380208479,17.749928496875,206.20037700653077,0.08313060440885144,20.612439360625,233.81037676239015,0.05102187068435719
55,12.042527353125001,162.15098764801024,0.037094191972843485,12.049213876875001,162.15614153289795,0.0300589492043134,12.055705940000001,162.18452143859864,0.03339664659658929,13.568970973749998,172.2914222793579,0.03651552940036815,17.10526625125,207.13065100860595,0.08479433828622777,19.979269438125,235.4220022506714,0.05228567643017208
56,11.423204781875,162.15138573455812,0.04213352187109797,11.429661202499998,162.15694523620604,0.03419328798763031,11.4359945275,162.18489209747315,0.0376784204112753,12.930924647500001,172.29375246429444,0.03609827021713065,16.480294774375,208.07106577301025,0.08644604527146518,19.3643086875,237.04599646759033,0.05354437361142879
57,10.826971908125,162.14962106323242,0.04645241291085254,10.83320386625,162.1560962677002,0.03841972197372766,10.839372735,162.1831302871704,0.0416741737464274,12.314621850624999,172.2957654800415,0.0372035695434849,15.87452897625,209.02203937530518,0.08808550265296812,18.7670639875,238.6826298904419,0.0547998651872034
58,10.25330550375,162.15101100921632,0.05266349415618897,10.2593185740625,162.15689153289796,0.046011462343634214,10.265312450625,162.1829542388916,0.04927896471330177,11.719609109375,172.29719290161134,0.03950055854751079,15.287492858750001,209.9837825164795,0.0897143813139496,18.18705556625,240.33215255737304,0.056049154072674266
59,9.701668794062499,162.14417080688477,0.06096575950994616,9.70747310875,162.14862644958495,0.05577109072978112,9.713284523437501,162.17320082855224,0.06137251836648566,11.145435090625,172.2994097061157,0.042615299905271735,14.718718324374999,210.95674531555176,0.09133749473469131,17.623815834375,241.9947605819702,0.057294145856951466
60,9.171533711875,162.14479634094238,0.08101420576084417,9.1771432725,162.14225773620606,0.08143446107025548,9.1827685790625,162.1676314315796,0.08596126983582884,10.591652904375,172.30263836669923,0.0455435324271108,14.167748651875,211.9408967285156,0.09293599245878002,17.076890245,243.67080645751952,0.05853473074371427
61,8.662336561875,162.13465630340576,0.1259056799144336,8.66781616375,162.1237835083008,0.13417961713771698,8.6732522328125,162.14583738708495,0.13975123367280504,10.0578191528125,172.30463651275636,0.04734240968176743,13.634135485,212.93705379486084,0.09452837060931872,16.545835051875,245.36051639556885,0.05975152797358375
62,8.1738063775,162.02807586669923,0.20035688583701272,8.1794214740625,162.05508386230468,0.21832777557933838,8.184672235312501,162.0716968383789,0.22896964833844752,9.543493776875,172.3041971435547,0.04822394543151281,13.11743640375,213.9453129272461,0.0961037819717092,16.030219376875,247.06396730804443,0.06096553758382364
63,7.7062161125,161.63872493743895,0.24344597037998356,7.712323415625,161.81812063598633,0.2990200046762117,7.7174710821875,161.8540017852783,0.35895188678803003,9.048241021875,172.3018001022339,0.04810883629138466,12.617218663125001,214.96598628997802,0.09765468007195956,15.52962361,248.78137900543214,0.06216824501369337
64,7.259376331874999,161.11843420410156,0.2558763665895273,7.266106143125,161.2882451171875,0.30869588732234177,7.2712724721874995,161.33526554870605,0.3817411658534228,8.571627509375,172.2987601776123,0.04575317370698767,12.13306140375,215.99859057617186,0.09920050907499414,15.043636910625,250.51367390441894,0.06336455742828988
65,6.832243220625,160.59857064056396,0.25121141264447344,6.839504506250001,160.71390380859376,0.2433863443634054,6.844704115000001,160.750467918396,0.30696358325367007,8.113219836875,172.2930486907959,0.04359485230688411,11.664560651875002,217.0425238571167,0.10073973981374071,14.57185722,252.26095128631593,0.06454461527356987
66,6.4238038925000005,160.24732083892823,0.2236827133297871,6.4314701040625,160.30523468780518,0.2049099681760374,6.4366623653124995,160.33571906280517,0.23966228183575056,7.67258238625,172.2755657196045,0.04675640471861731,11.211336845,218.09484811401367,0.10230115708174183,14.113897505625,254.0225634536743,0.06570250197233435
67,6.033417850625001,160.01989359283448,0.1977722497687205,6.0413436215625005,160.06532273864747,0.18009177140590382,6.0464934503125,160.08079605865478,0.19300980945477803,7.249272145625,172.23187686920167,0.05833857142558299,10.77306058375,219.14771854400635,0.10394590722217034,13.6693901225,255.79704895019532,0.06685084062503677
68,5.660571935,159.84741734313965,0.18611754529076324,5.668670784375,159.91647827148438,0.1638010219828358,5.673747830000001,159.92114413452148,0.16522018592682508,6.842862898125,172.14550786590576,0.07863628773536528,10.3495199771875,220.1800489578247,0.10590006394553625,13.2380001875,257.5793775482178,0.06800532880823706
69,5.304752993125001,159.69743743133546,0.16661322312028912,5.313002563125,159.80690967559815,0.15691967825658304,5.31796584375,159.82016201019286,0.14056366727849143,6.4531895015625,172.01989806365967,0.1381126032994689,9.940713800625,221.14892597961426,0.10814518529325667,12.819468562499999,259.35414680480955,0.06920535474698945
70,4.96544173484375,159.57933350372315,0.14167795399577718,4.97383260125,159.7282734375,0.14916530833517372,4.97865244765625,159.76130504608153,0.1231369811414754,6.0805280943749995,171.6553318939209,0.24433601184257944,9.546659418125,222.0689804763794,0.11008587378561087,12.413721875,261.0774958190918,0.07054740587479774
71,4.6421085956249994,159.51013145446777,0.11761807210183121,4.65062190875,159.67471411132811,0.13566750768581806,4.6552881965625,159.7307142944336,0.11338964944233602,5.724802553125,170.9109742126465,0.4032051562666555,9.1670259278125,222.9904287338257,0.11156671829810594,12.020860625,262.7220298309326,0.0717718596750693
72,4.334234725781251,159.4736884918213,0.09812370021553807,4.34283291828125,159.64218981933593,0.1194851402224632,4.347357488125,159.7135254058838,0.10816175761096906,5.385122011562499,170.23117127990722,0.3452613791361847,8.801105624375,223.9715737686157,0.11220375269564418,11.640802134374999,264.3450240631104,0.07278154847963889
