level,-nu-0.01_pressure_bar,-nu-0.01_NH3_vapor_mean,-nu-0.01_NH3_vapor_std,-nu-0.01_NH3_s__mean,-nu-0.01_NH3_s__std,-nu-0.01_NH3_s_p__mean,-nu-0.01_NH3_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_NH3_vapor_mean,-nu-0.1_NH3_vapor_std,-nu-0.1_NH3_s__mean,-nu-0.1_NH3_s__std,-nu-0.1_NH3_s_p__mean,-nu-0.1_NH3_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_NH3_vapor_mean,-nu-1.0_NH3_vapor_std,-nu-1.0_NH3_s__mean,-nu-1.0_NH3_s__std,-nu-1.0_NH3_s_p__mean,-nu-1.0_NH3_s_p__std,-nu-10.0_pressure_bar,-nu-10.0_NH3_vapor_mean,-nu-10.0_NH3_vapor_std,-nu-10.0_NH3_s__mean,-nu-10.0_NH3_s__std,-nu-10.0_NH3_s_p__mean,-nu-10.0_NH3_s_p__std,-nu-100.0_pressure_bar,-nu-100.0_NH3_vapor_mean,-nu-100.0_NH3_vapor_std,-nu-100.0_NH3_s__mean,-nu-100.0_NH3_s__std,-nu-100.0_NH3_s_p__mean,-nu-100.0_NH3_s_p__std
49,16.289396955625,0.002548002756549977,1.0940102130708101e-05,0.0,0.0,1.4246483605233836e-27,3.699818027214895e-27,16.289775396875,0.002543418974033557,7.418887282502265e-06,0.0,0.0,7.447881067060982e-28,1.848372559954303e-27,16.30768654625,0.002605318149086088,2.986217494985576e-05,0.0,0.0,4.176179394295799e-28,1.0490248926721247e-27,16.655170540624997,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,19.673094,0.0025174340698868036,0.0,0.0,0.0,0.0,0.0
50,15.520198684375,0.002549109316314571,1.1644391628590452e-05,0.0,0.0,2.061287971326478e-26,5.355486687602737e-26,15.520538455,0.002543991416692734,8.035446373861373e-06,0.0,0.0,1.0773942484776085e-26,2.674832955113456e-26,15.538499485625001,0.0026118001420982182,3.29204318782323e-05,0.0,0.0,6.0432244329760294e-27,1.518107037589588e-26,15.886187756250001,0.0025174329057335854,0.0,0.0,0.0,0.0,0.0,18.912810625,0.0025174340698868036,0.0,0.0,0.0,0.0,0.0
51,14.77730614375,0.002550356882507913,1.2453525002052414e-05,0.0,0.0,2.978040544851899e-25,7.740618842182914e-25,14.777606785,0.002544713085866533,8.89852701426527e-06,0.0,0.0,1.556092537518254e-25,3.8647091600988986e-25,14.7955634125,0.002617204645415768,3.3822267846697515e-05,0.0,0.0,8.73123472514864e-26,2.1934611174283564e-25,15.1432876,0.0025174329116707667,3.6702965095290094e-11,0.0,0.0,0.0,0.0,18.176257749999998,0.0025174340698868036,0.0,0.0,0.0,0.0,0.0
52,14.060172483125001,0.002551816829829477,1.3408686197666442e-05,0.0,0.0,4.294053184917776e-24,1.1165959370083493e-23,14.060433570625,0.0025456200452754272,1.0082152716213996e-05,0.0,0.0,2.242861378965064e-24,5.5723314220704384e-24,14.078330123125001,0.0026223758431151508,3.0017673694140714e-05,0.0,0.0,1.2588941264765129e-24,3.1627032026830384e-24,14.425927776250001,0.002517432926804759,7.662560481045544e-11,0.0,0.0,0.0,0.0,17.4629076875,0.0025174340698868036,0.0,0.0,0.0,0.0,0.0
53,13.368255249375,0.002553591210162267,1.4513346937068609e-05,0.0,0.0,6.175447955946845e-23,1.6064929210837924e-22,13.368476341875,0.002546680368250236,1.1393846326982395e-05,0.0,0.0,3.2240345511810264e-23,8.012739774416736e-23,13.38626165,0.0026278051479021085,2.4618795556858072e-05,0.0,0.0,1.8102631593108387e-23,4.548014594312636e-23,13.733569765625,0.0025174328361172228,2.98677251463848e-10,0.0,0.0,0.0,0.0,16.7722409375,0.0025174336282070726,9.178106007905309e-11,0.0,0.0,0.0,0.0
54,12.701015519375,0.0025557636630255728,1.5786949685388124e-05,0.0,0.0,8.850543703461647e-22,2.303342141969466e-21,12.7011961075,0.0025479671312496066,1.2775650280112188e-05,0.0,0.0,4.618111744964394e-22,1.14810553988591e-21,12.718827054375,0.00263186097831931,2.1426558377564788e-05,0.0,0.0,2.594081240907679e-22,6.517373954574686e-22,13.065679069999998,0.0025174330997979268,1.4248926802072985e-09,0.0,0.0,0.0,0.0,16.1037450625,0.002517434963490814,2.6390673033420215e-10,0.0,0.0,0.0,0.0
55,12.057918669374999,0.0025586405909853054,1.744787504593862e-05,0.0,0.0,1.26267918551257e-20,3.287375991776002e-20,12.05805716375,0.0025498119376134126,1.4705898559295908e-05,0.0,0.0,6.5845531640270146e-21,1.6374555846890088e-20,12.075499954375001,0.0026355490180430935,1.9440908476099392e-05,0.0,0.0,3.70043920819523e-21,9.29717127083891e-21,12.421725330000001,0.002517433116910979,4.255647085573002e-09,0.0,0.0,0.0,0.0,15.4569146875,0.0025174309246940537,8.245600437113795e-10,0.0,0.0,0.0,0.0
56,11.438433834375001,0.0025627097878605128,1.9831508712819245e-05,0.0,0.0,1.7906352603840826e-19,4.663527578598795e-19,11.438529456249999,0.0025526340724900363,1.74285867377821e-05,0.0,0.0,9.331778330113689e-20,2.3212746955456564e-19,11.45575700625,0.002641318184672855,2.388244661783065e-05,0.0,0.0,5.24730748144101e-20,1.3183820556507108e-19,11.80118235625,0.002517416494549252,4.367658109823366e-08,0.0,0.0,0.0,0.0,14.8312505625,0.0025174408153397962,2.0630777376358245e-09,0.0,0.0,0.0,0.0
57,10.842034125625,0.0025687730708159506,2.3346399588180967e-05,0.0,0.0,2.519260029449684e-18,6.563143095345405e-18,10.842086513125,0.0025571641344577073,2.1237049019121993e-05,0.0,0.0,1.3120123104998017e-18,3.264433887656105e-18,10.8590768325,0.002650252255029045,3.1935234351769495e-05,0.0,0.0,7.382641184102838e-19,1.8549028774894975e-18,11.20353174875,0.002517402734491043,1.0902883310953177e-07,0.0,0.0,0.0,0.0,14.226261344375,0.002517421690747142,3.851864601271805e-09,0.0,0.0,0.0,0.0
58,10.2681974534375,0.0025783393849851564,2.8892865234179406e-05,0.0,0.0,3.507287314688562e-17,9.139489925628495e-17,10.26820419625,0.002564576082164422,2.6606611151289717e-05,0.0,0.0,1.825276316287353e-17,4.5424092622357155e-17,10.284938206875,0.0026639238505158573,3.559778562205361e-05,0.0,0.0,1.0279545859845207e-17,2.582725329930941e-17,10.62827485375,0.002517566910479218,3.3026384216990846e-07,0.0,0.0,0.0,0.0,13.64146117125,0.002517446002573706,4.732730285546902e-09,0.0,0.0,0.0,0.0
