level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std
41,23.4548793597875,0.02484005139988847,0.00016312301717104032,0.0,0.0,6.519891400341912e-30,3.723362445635625e-29,23.454754417012502,0.02487063341371715,0.00015837743704349625,0.0,0.0,6.582418623024143e-30,5.966339533955622e-29,23.461630759425,0.024852337284563108,0.0001522351420172899,0.0,0.0,5.057973090151266e-30,5.984951105743367e-29
42,22.454657728175,0.024837511367024855,0.0001652648410364932,0.0,0.0,9.270963703903053e-29,4.806748161177177e-28,22.45454067325,0.02486790667165071,0.00016014175316185036,0.0,0.0,9.213956289918159e-29,7.292407589434491e-28,22.461384547,0.02484957403767854,0.00015363622604918986,0.0,0.0,7.070796584442414e-29,7.135483963322719e-28
43,21.485281023324998,0.02483475349462591,0.00016761958650404591,0.0,0.0,1.3222811033730021e-27,6.279076335823326e-27,21.48517155055,0.024864970197286458,0.00016206078503234482,0.0,0.0,1.295784489252797e-27,9.07362458992251e-27,21.491975408412504,0.024846610147673635,0.00015517990762993272,0.0,0.0,9.93372096609135e-28,8.634493433173233e-27
44,20.54617117836875,0.02483172896041535,0.00017026483245483864,0.0,0.0,1.891173944312895e-26,8.306327352275778e-26,20.54606891213125,0.024861780139673502,0.000164186370795782,0.0,0.0,1.8300509046465656e-26,1.1499280447103818e-25,20.552825499825,0.024843395445318894,0.00015689058596484218,0.0,0.0,1.4018725014692928e-26,1.063227628292945e-25
45,19.63675388545,0.02482836232582107,0.0001733447440943932,0.0,0.0,2.711603373901974e-25,1.112858449766814e-24,19.6366583356,0.024858285169377922,0.00016660297678208234,0.0,0.0,2.5944822443996906e-25,1.484210422678439e-24,19.6433607652625,0.02483987006077543,0.0001588174316719063,0.0,0.0,1.9863482992090645e-25,1.3352588182120888e-24
46,18.756458558625,0.02482453947180882,0.00017706138447777097,0.0,0.0,3.896462007019337e-24,1.5093125610292994e-23,18.756369215299998,0.024854413692085072,0.0001694009921592531,0.0,0.0,3.690625169364774e-24,1.949393301010811e-23,18.76301105396875,0.024835952627919614,0.00016105349050177654,0.0,0.0,2.824505519139013e-24,1.712479568645009e-23
47,17.9047184904,0.024820094503713773,0.00018165051577394265,0.0,0.0,5.60931769596833e-23,2.0702204898040611e-22,17.90463478429375,0.024850063841082157,0.0001726930405358086,0.0,0.0,5.265062058252678e-23,2.6017405772002685e-22,17.9112102193875,0.02483151648064144,0.00016368068178532782,0.0,0.0,4.0285659504703904e-23,2.2428869753467805e-22
48,17.08097088943125,0.024814803309505806,0.00018746018307948435,0.0,0.0,8.086666289745804e-22,2.8681177082546455e-21,17.08089233070625,0.024845088578946888,0.00017661994442485018,0.0,0.0,7.529025699887106e-22,3.521997193075792e-21,17.087396156281248,0.024826375972460957,0.0001667599439234913,0.0,0.0,5.760299166564923e-22,2.9957986905296785e-21
49,16.284656973525,0.024808332409774883,0.00019510640107674084,0.0,0.0,1.1669336155288244e-20,4.007502778702972e-20,16.2845830434125,0.024839271631874143,0.00018142416213636362,0.0,0.0,1.0785952626104776e-20,4.825791189732221e-20,16.29101102723125,0.0248202753569372,0.00017046691869815643,0.0,0.0,8.252167552436318e-21,4.070721751025234e-20
50,15.51522194365,0.024800131727708504,0.00020570226188908406,0.0,0.0,1.6846193062328203e-19,5.638328572315381e-19,15.51515233640625,0.024832306227525695,0.00018752020238675752,0.0,0.0,1.546984269472104e-19,6.6782055437799e-19,15.521500916231249,0.02481283496708609,0.00017514534153598304,0.0,0.0,1.1836769262640425e-19,5.609876628573877e-19
51,14.772115096981251,0.024789238572055474,0.00022133500729546409,0.0,0.0,2.431320548916961e-18,7.974278812464351e-18,14.772049613850001,0.024823708869097755,0.00019554894249462835,0.0,0.0,2.2196922444302366e-18,9.313583118844547e-18,14.778316062237499,0.024803447947353126,0.0001814083160635863,0.0,0.0,1.698642996120447e-18,7.81519103627284e-18
52,14.054789833856251,0.024773945841332898,0.0002460980320166554,0.0,0.0,3.505042989884564e-17,1.1316663492930008e-16,14.0547284374875,0.024812652835156768,0.0002065596745057261,0.0,0.0,3.1833123357649456e-17,1.3061526533124694e-16,14.06091068821875,0.024791078864010052,0.00019031997679955134,0.0,0.0,2.436499126011465e-17,1.0970963818160792e-16
53,13.3627039138625,0.024750862218607218,0.00028863620896659635,0.0,0.0,5.041942957479959e-16,1.6084833410497031e-15,13.3626464899125,0.024797663979874925,0.0002225676260113789,0.0,0.0,4.557887954556425e-16,1.8379703589423092e-15,13.368742933693749,0.024773868261240423,0.0002038322456330871,0.0,0.0,3.48930024785956e-16,1.5472235345221251e-15
54,12.6953196539,0.024712227923171595,0.00037080908763697867,0.0,0.0,7.226185702951592e-15,2.2846366394583018e-14,12.695265803075,0.024775787389343603,0.00024783481821957234,0.0,0.0,6.505358320051449e-15,2.5886033155011088e-14,12.7012748202875,0.02474829163648188,0.00022601959060082144,0.0,0.0,4.9812847221724814e-15,2.1852871208611566e-14
55,12.05210440166875,0.024636154267154636,0.0005654198818395206,0.0,0.0,1.0296409543369508e-13,3.233958611992388e-13,12.05205286435,0.024740303052663802,0.0002930158595219732,0.0,0.0,9.235140539330802e-14,3.638290352675353e-13,12.05797211864375,0.024707042175093667,0.0002669349879053953,0.0,0.0,7.073072954678713e-14,3.080604745057154e-13
