level,-kappa-0.01_pressure_bar,-kappa-0.01_NH3_mean,-kappa-0.01_NH3_std,-kappa-0.01_NH3_s__mean,-kappa-0.01_NH3_s__std,-kappa-0.01_NH3_s_p__mean,-kappa-0.01_NH3_s_p__std,-kappa-0.1_pressure_bar,-kappa-0.1_NH3_mean,-kappa-0.1_NH3_std,-kappa-0.1_NH3_s__mean,-kappa-0.1_NH3_s__std,-kappa-0.1_NH3_s_p__mean,-kappa-0.1_NH3_s_p__std,-kappa-1.0_pressure_bar,-kappa-1.0_NH3_mean,-kappa-1.0_NH3_std,-kappa-1.0_NH3_s__mean,-kappa-1.0_NH3_s__std,-kappa-1.0_NH3_s_p__mean,-kappa-1.0_NH3_s_p__std,-kappa-10.0_pressure_bar,-kappa-10.0_NH3_mean,-kappa-10.0_NH3_std,-kappa-10.0_NH3_s__mean,-kappa-10.0_NH3_s__std,-kappa-10.0_NH3_s_p__mean,-kappa-10.0_NH3_s_p__std,-kappa-50.0_pressure_bar,-kappa-50.0_NH3_mean,-kappa-50.0_NH3_std,-kappa-50.0_NH3_s__mean,-kappa-50.0_NH3_s__std,-kappa-50.0_NH3_s_p__mean,-kappa-50.0_NH3_s_p__std,-kappa-100.0_pressure_bar,-kappa-100.0_NH3_mean,-kappa-100.0_NH3_std,-kappa-100.0_NH3_s__mean,-kappa-100.0_NH3_s__std,-kappa-100.0_NH3_s_p__mean,-kappa-100.0_NH3_s_p__std
39,25.535219647499996,0.002522925724973902,1.139988186447335e-06,0.0,0.0,2.31023079305079e-39,2.4226339935748904e-39,25.546508442500002,0.0025411627531284468,4.9226080590289954e-06,0.0,0.0,5.363646278864314e-39,2.188235155981918e-38,25.55483534375,0.0025530745236901566,5.7942730362152384e-06,0.0,0.0,1.979310464775785e-39,6.384568131777127e-39,27.1209585175,0.0038808239767095074,1.2860520044104678e-05,0.0,0.0,5.394999087650546e-47,3.133954751899876e-46,30.217708,0.0025174354695482177,5.952808436380651e-11,0.0,0.0,0.0,0.0,32.674441125,0.0025174361653625965,0.0,0.0,0.0,0.0,0.0
40,24.471951851249997,0.0025229104100726544,1.1650343403123696e-06,0.0,0.0,3.340395529567138e-38,3.390833711323854e-38,24.482892127499998,0.0025412143958965317,5.019165193256191e-06,0.0,0.0,7.771590450968177e-38,3.1476508974947052e-37,24.4911438,0.0025530536917503922,5.891467612994976e-06,0.0,0.0,2.864934411592989e-38,9.326403703048945e-38,26.070472404999997,0.0038877074734773487,5.33621804766385e-06,0.0,0.0,1.483274424487819e-45,4.170617776666866e-45,29.213076375000004,0.00251743545755744,4.562530187486072e-11,0.0,0.0,0.0,0.0,31.698953624999998,0.0025174361653625965,0.0,0.0,0.0,0.0,0.0
41,23.440686175000003,0.002522896217997186,1.2259198900176428e-06,0.0,0.0,4.833290713093611e-37,4.763305626173666e-37,23.45128744625,0.002541246265056543,5.163182488616358e-06,0.0,0.0,1.1269580114993892e-36,4.5371014265055505e-36,23.459458842500002,0.002553018895792775,5.989602822653349e-06,0.0,0.0,4.148672250759684e-37,1.3639593619477356e-36,25.0497367375,0.0038946347193559634,2.9925104140048476e-06,0.0,0.0,2.1933123563612036e-44,6.0185090347174345e-44,28.236713624999997,0.002517435448360629,6.298477749899021e-11,0.0,0.0,0.0,0.0,30.750903625,0.002517435932531953,0.0,0.0,0.0,0.0,0.0
42,22.44084017125,0.0025228799486067145,1.302116173692292e-06,0.0,0.0,6.997927958794516e-36,6.71471892866796e-36,22.451111182499996,0.002541241750237532,5.2963144008547386e-06,0.0,0.0,1.6354433431076394e-35,6.552969178969159e-35,22.45919438625,0.0025529663923662157,6.082600036096832e-06,0.0,0.0,6.010085806626143e-36,1.996923919813806e-35,24.05812325125,0.0039006235370179637,2.6522384017094177e-06,0.0,0.0,3.1884514672937943e-43,8.725144741097985e-43,27.287952625000003,0.002517435258254409,7.833081727219477e-11,0.0,0.0,0.0,0.0,29.82955125,0.002517435932531953,0.0,0.0,0.0,0.0,0.0
43,21.47183040625,0.0025228593026986345,1.3667778770739816e-06,0.0,0.0,1.0137969376238445e-34,9.496979925406416e-35,21.481779907499998,0.002541179836145602,5.274337726170079e-06,0.0,0.0,2.374916296574978e-34,9.481663697868733e-34,21.489770862500002,0.002552910192054696,6.17279639533458e-06,0.0,0.0,8.709649524103233e-35,2.926443770831506e-34,23.0950372075,0.0039045059302588924,2.9090717416534293e-06,0.0,0.0,4.628197357584291e-42,1.2647137550002144e-41,26.366141499999998,0.0025174352270551027,3.971793248604978e-11,0.0,0.0,0.0,0.0,28.934178375,0.0025174359034281224,7.700149758790476e-11,0.0,0.0,0.0,0.0
44,20.533080249375,0.0025228310762904584,1.4216214460809786e-06,0.0,0.0,1.4694483121218377e-33,1.3473747451270436e-33,20.542717156875,0.002541120045701973,5.212660082329893e-06,0.0,0.0,3.45061495742194e-33,1.3740935268343175e-32,20.5506093275,0.002552876157453284,6.284547358979876e-06,0.0,0.0,1.2624924299818452e-33,4.291750722009934e-33,22.1599131675,0.003906518150819466,4.842465382009372e-06,0.0,0.0,6.717029951419285e-41,1.8321121884320016e-40,25.470643,0.002517435220070183,5.529421422182544e-11,0.0,0.0,0.0,0.0,28.064086,0.002517435699701309,0.0,0.0,0.0,0.0,0.0
45,19.624014785625,0.0025227870621019974,1.4294216848606864e-06,0.0,0.0,2.1307792457587884e-32,1.9170409224892088e-32,19.633349273125,0.0025410988490330057,5.176131739737044e-06,0.0,0.0,5.01556725032573e-32,1.9939431793900445e-31,19.641137786875,0.002552856261143461,6.431312000979102e-06,0.0,0.0,1.8302914963896107e-32,6.297070170455017e-32,21.252219258750003,0.003907584584667347,7.047608086925591e-06,0.0,0.0,9.74727060418243e-40,2.6518286019219727e-39,24.600832625000002,0.0025174351839814335,9.565203125423972e-11,0.0,0.0,0.0,0.0,27.2185925,0.002517435699701309,0.0,0.0,0.0,0.0,0.0
46,18.74406608125,0.002522728304611519,1.3861656775677883e-06,0.0,0.0,3.090650412233531e-31,2.7346013787534193e-31,18.75310525125,0.0025410951398080217,5.197521988179519e-06,0.0,0.0,7.29185730510013e-31,2.8961517999583712e-30,18.76078600875,0.0025528277690755204,6.594510767038965e-06,0.0,0.0,2.6535120794790257e-31,9.241651978757803e-31,20.371446329375,0.003908270956715569,8.361428095420505e-06,0.0,0.0,1.4142033559523382e-38,3.83446043495145e-38,23.756100625,0.0025174349980661647,2.6869251462051207e-11,0.0,0.0,0.0,0.0,26.39703575,0.002517435652203858,9.382352732041315e-11,0.0,0.0,0.0,0.0
47,17.892667576875,0.0025226752371527257,1.3744329138739112e-06,0.0,0.0,4.483528056622677e-30,3.9096539301206046e-30,17.9014182225,0.002541093645733781,5.266556011385229e-06,0.0,0.0,1.0601496370824065e-29,4.2092360079598895e-29,17.90898658375,0.002552786726737395,6.72909841779026e-06,0.0,0.0,3.8464765809685694e-30,1.3563088736327732e-29,19.51709802125,0.0039083150640362874,9.08214113338352e-06,0.0,0.0,2.0513692836378504e-37,5.538802092765997e-37,22.93585,0.0025174349918961527,4.562530187486072e-11,0.0,0.0,0.0,0.0,25.598771375000002,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0
48,17.069255786875,0.0025226434184005483,1.409695320577641e-06,0.0,0.0,6.503731443882295e-29,5.600251722330602e-29,17.077725610625002,0.0025411039433674886,5.353170294594016e-06,0.0,0.0,1.5410419465284762e-28,6.1198447258142135e-28,17.085175663125,0.00255274142161943,6.803594983725625e-06,0.0,0.0,5.573982203148088e-29,1.989953611094542e-28,18.688683156875,0.003907554214587435,9.463637538585798e-06,0.0,0.0,2.9746910592797002e-36,7.99165172354813e-36,22.139495750000002,0.0025174349854933096,5.841393262501014e-11,0.0,0.0,0.0,0.0,24.823171375,0.0025174354668706656,0.0,0.0,0.0,0.0,0.0
