level,-kappa-0.01_pressure_bar,-kappa-0.01_n2_mean_s-2,-kappa-0.01_n2_std_s-2,-kappa-0.1_pressure_bar,-kappa-0.1_n2_mean_s-2,-kappa-0.1_n2_std_s-2,-kappa-1.0_pressure_bar,-kappa-1.0_n2_mean_s-2,-kappa-1.0_n2_std_s-2
39,25.567845657524998,1.1792794712653152e-09,2.4409026967842244e-08,25.5675242687,6.021682444286337e-09,1.591986798716722e-08,25.578425204787507,4.600973534531603e-08,7.713456195704795e-08
40,24.503932888087505,-4.7417738078468e-10,2.5074883180543994e-08,24.503615521362498,5.052589836020611e-09,1.577298467842838e-08,24.514613971087503,2.329324805044734e-08,6.446264625133822e-08
41,23.472024610625,-2.4009781883138516e-09,2.5913277253073987e-08,23.4717123057875,3.6924399333638793e-09,1.6161251844996226e-08,23.482789436287497,-1.2316100935352114e-09,5.6677522487723245e-08
42,22.471535874837503,-4.439379891048768e-09,2.6987241335227963e-08,22.4712295907,2.012960743047393e-09,1.7275364705086734e-08,22.4823636216,-2.29388895532109e-08,5.6223501109325944e-08
43,21.501885273150002,-6.442952590391839e-09,2.8394363497684815e-08,21.501585968437496,2.399067725863851e-10,1.8949173010379028e-08,21.5127530392875,-4.0228397045659674e-08,6.121210808564029e-08
44,20.562495119906256,-8.252932879851308e-09,3.004972965888336e-08,20.56220365921875,-1.3536235890421958e-09,2.1047682977306994e-08,20.5733787994,-5.2616194332566286e-08,6.528047954832484e-08
45,19.65279141299375,-9.5344770825155e-09,3.1682223273280695e-08,19.652508586312496,-2.3764330621342945e-09,2.3104885580506236e-08,19.6636667133,-5.908805057035308e-08,6.689570200956555e-08
46,18.772203928799996,-9.960315317966736e-09,3.2995467835165584e-08,18.7719304770625,-2.3286767154858993e-09,2.4695329283669626e-08,18.78304733538125,-5.678139447885474e-08,6.388337509817533e-08
47,17.920166266531243,-9.25851865294754e-09,3.376531363971103e-08,17.9199029035875,-5.81609114526131e-10,2.5312761766243444e-08,17.930956144068748,-4.1599039013936885e-08,5.565635186528125e-08
48,17.096115921468748,-7.1273494466072216e-09,3.374305660382845e-08,17.095863337181246,3.3304903107595707e-09,2.5300634102761993e-08,17.10683393203125,-1.0164909263048626e-08,4.317906657795658e-08
49,16.29949423194375,-3.018269674014241e-09,3.3486729534375104e-08,16.299253271368748,9.690482324878884e-09,2.5362469122457158e-08,16.310126882343752,3.970695580839234e-08,4.093691502447516e-08
