case,time_days,dtdz_1bar_K_per_km,dtdz_6bar_K_per_km,dtdz_30bar_K_per_km
$\nu=$10.0,210.64817129629628,-1.5991419560463591,-1.7106758483427893,-1.6207095186831488
$\nu=$10.0,211.8056712962963,-1.597916691964023,-1.706450581572689,-1.6206339028456727
$\nu=$10.0,212.96310185185186,-1.595917736002939,-1.7157771560513768,-1.6205569479013207
$\nu=$10.0,214.1203935185185,-1.599872491342832,-1.7153455571523704,-1.6205126530304108
$\nu=$10.0,215.2778935185185,-1.5972268775038658,-1.7150816590551976,-1.6203965995508465
$\nu=$10.0,216.43523148148148,-1.6000284338850246,-1.7181215525941962,-1.620299985653285
$\nu=$10.0,217.59266203703703,-1.5972495288865785,-1.7227509619494816,-1.620323805009813
$\nu=$10.0,218.7500462962963,-1.5989147418603722,-1.7205757898395153,-1.620178021737879
$\nu=$10.0,219.90752314814816,-1.5982134343504326,-1.7203084001686517,-1.6201097098635668
$\nu=$10.0,221.06490740740742,-1.5987936687068018,-1.7293347054594883,-1.6200120668213378
$\nu=$10.0,222.22233796296297,-1.5976242286018634,-1.7334704541967882,-1.619884400831727
$\nu=$10.0,223.37969907407407,-1.5972177963612246,-1.746093661660148,-1.6197940811290896
$\nu=$10.0,224.53703703703704,-1.5990688228020082,-1.7392547038643913,-1.6196817553411607
$\nu=$10.0,225.69453703703704,-1.598263759035016,-1.7361153861208183,-1.6196058568961373
$\nu=$10.0,226.85189814814814,-1.5998374502021346,-1.7368207300167258,-1.6195596260349534
$\nu=$10.0,228.00935185185185,-1.5985771358173042,-1.7312804558130976,-1.619467482419451
$\nu=$10.0,229.1667824074074,-1.5983501693805047,-1.7275356848680161,-1.6193924530793726
$\nu=$10.0,230.32418981481482,-1.599281070428516,-1.7282802280785647,-1.6193499542961762
$\nu=$10.0,231.48155092592592,-1.599475256214155,-1.72652979170455,-1.6192595459896124
$\nu=$10.0,232.63902777777778,-1.5974446940955223,-1.7232800965736526,-1.6191630176952925
$\nu=$10.0,233.79638888888888,-1.5988070646319004,-1.722119166642172,-1.619091469057543
$\nu=$10.0,234.95375,-1.5993086972790413,-1.7220202264765614,-1.618971791831652
$\nu=$10.0,236.11113425925927,-1.5994946791388394,-1.7284731638813065,-1.6188878205704695
$\nu=$10.0,237.2686111111111,-1.5998014474281816,-1.7278228139621163,-1.6188305454921672
$\nu=$10.0,238.42601851851853,-1.6002302605884837,-1.7288432520778998,-1.6187210354774695
$\nu=$10.0,239.5834027777778,-1.5989671280370727,-1.7291194752967602,-1.618660320177199
$\nu=$10.0,240.74081018518518,-1.5989390719952379,-1.7304113947183526,-1.6185695265635895
$\nu=$10.0,241.8982175925926,-1.6001277350008638,-1.7338987673429496,-1.618471463426579
$\nu=$10.0,243.05564814814815,-1.595998211332306,-1.7382486747075212,-1.6183710671475322
$\nu=$10.0,244.2130324074074,-1.5976468431077464,-1.7500997824726572,-1.6183163087118162
$\nu=$10.0,245.37046296296296,-1.5984476298960086,-1.7542169408190542,-1.6182359467433773
$\nu=$10.0,246.52782407407406,-1.5943166568181,-1.7625965114578181,-1.6181603051377902
$\nu=$10.0,247.68520833333332,-1.5989760904629569,-1.7613094349044156,-1.6180776739320597
$\nu=$10.0,248.84259259259258,-1.5988285903816444,-1.7523446899446729,-1.6180039091477763
$\nu=$10.0,250.0000462962963,-1.5976574879087821,-1.7711038951738625,-1.617969713263759
$\nu=$10.0,251.1575,-1.5961586137537076,-1.7830255245786037,-1.6178394043307747
$\nu=$10.0,252.3148611111111,-1.5960922635904637,-1.768452945650503,-1.6177422423440777
$\nu=$10.0,253.47224537037036,-1.5984423886785706,-1.7433795553268865,-1.6176404017582797
$\nu=$10.0,254.62962962962962,-1.5993063519400554,-1.7627103068162389,-1.6175211005526944
$\nu=$10.0,255.7871064814815,-1.600119681401893,-1.7578256425361425,-1.617434762134295
$\nu=$10.0,256.9444907407407,-1.5971465239285587,-1.7596514542545767,-1.6174103904177726
$\nu=$10.0,258.10192129629627,-1.5975882443435183,-1.7606539061392397,-1.6173013030683816
$\nu=$10.0,259.2592824074074,-1.5981329724019184,-1.7606127061534966,-1.6172199982312423
$\nu=$10.0,260.41675925925927,-1.5996683241170413,-1.7508388139945754,-1.6171259772862683
$\nu=$10.0,261.5741435185185,-1.5973755943606347,-1.7675441734232373,-1.6170218306434292
$\nu=$10.0,262.7315972222222,-1.5984676606579393,-1.7551700317402799,-1.6169096684774278
$\nu=$10.0,263.88902777777776,-1.598054469825535,-1.7548535044696583,-1.6168683984934824
$\nu=$10.0,265.0463657407407,-1.5992946269559676,-1.7603463381393873,-1.6167821010777834
$\nu=$10.0,266.2037962962963,-1.5978742843418312,-1.767431834558866,-1.6166998649748117
$\nu=$10.0,267.36125,-1.6002693088972553,-1.7659452204884498,-1.6166156874008935
$\nu=$10.0,268.51858796296295,-1.5981614777359825,-1.7648412820230701,-1.616523419299005
$\nu=$10.0,269.6759490740741,-1.596618727351179,-1.7619065507258107,-1.6164348216231579
$\nu=$10.0,270.8334027777778,-1.5986175779155403,-1.7595765601823763,-1.6163633899438419
$\nu=$10.0,271.99076388888886,-1.5992520472743819,-1.7577310412326812,-1.6162722604656405
$\nu=$10.0,273.14824074074073,-1.5987153088418713,-1.7523569902746148,-1.6162179040213907
$\nu=$10.0,274.30560185185186,-1.5991601218265237,-1.7569982994269588,-1.6161295882490154
$\nu=$10.0,275.46300925925925,-1.5983156257940994,-1.7502917887964615,-1.616025814669049
$\nu=$10.0,276.62041666666664,-1.5999713370387956,-1.7504682683077117,-1.615916820878024
$\nu=$10.0,277.77791666666667,-1.5974549512528566,-1.743501911613699,-1.6158330073333682
$\nu=$10.0,278.93532407407406,-1.599526664060548,-1.7455315380804937,-1.6157730799123322
$\nu=$10.0,280.0926851851852,-1.5994419320628104,-1.742112296899707,-1.6157324287087418
$\nu=$10.0,281.25011574074074,-1.5988136352123619,-1.7437111964478067,-1.6156401062268804
$\nu=$10.0,282.4074074074074,-1.5987984560423678,-1.7431818427406889,-1.6155391509364132
$\nu=$10.0,283.5649074074074,-1.5984833881787204,-1.7431229657256975,-1.615463644242366
$\nu=$10.0,284.7222453703704,-1.5990535446407628,-1.7476212499421677,-1.6153793721174297
$\nu=$10.0,285.8797222222222,-1.5994269232998815,-1.7512850011294112,-1.6152903062863266
$\nu=$10.0,287.03706018518517,-1.6008938845664757,-1.7515727505078,-1.6152231356903464
$\nu=$10.0,288.19458333333336,-1.5982018938453546,-1.751353385117172,-1.6151378217445513
$\nu=$10.0,289.351875,-1.5983565055418585,-1.7478370771331198,-1.6150395032776106
$\nu=$10.0,290.50930555555556,-1.5976593711895875,-1.752448153748214,-1.614941075192636
$\nu=$10.0,291.66675925925927,-1.5991249349981354,-1.7509600447465665,-1.6148378932761935
$\nu=$10.0,292.82409722222224,-1.5990891225267418,-1.750410337100175,-1.6147689747533618
$\nu=$10.0,293.9815046296296,-1.598968450627572,-1.7497694185074149,-1.6147040412764324
$\nu=$10.0,295.138912037037,-1.5980006989203765,-1.7518749974826957,-1.614603129171679
$\nu=$10.0,296.2962962962963,-1.5991851755863729,-1.7514041074184066,-1.6145161945716773
$\nu=$10.0,297.4537731481482,-1.5964533712774274,-1.7544494253522473,-1.6144414328678978
$\nu=$10.0,298.61113425925925,-1.5981888915766034,-1.756716056896279,-1.6143495959929748
$\nu=$10.0,299.7686111111111,-1.5979664319550002,-1.7517316172778434,-1.6142650122173656
$\nu=$10.0,300.9259259259259,-1.5984995310167796,-1.756144882718022,-1.6141862548775647
$\nu=$10.0,302.0834722222222,-1.5978449055845148,-1.7544191220447158,-1.6141066227599756
$\nu=$10.0,303.2408564814815,-1.5980025437225625,-1.7577156672692047,-1.6140160867257174
$\nu=$10.0,304.39824074074073,-1.5997918528235677,-1.7536511501360352,-1.6139266570051714
$\nu=$10.0,305.555625,-1.6000019356655033,-1.7589794053734154,-1.6138491515968965
$\nu=$10.0,306.71300925925925,-1.5991084714402661,-1.7573079870822133,-1.613762186158957
$\nu=$10.0,307.87039351851854,-1.5992897023317572,-1.7610485063395798,-1.6136748572975201
$\nu=$10.0,309.0278240740741,-1.5976836248891613,-1.7578790941532034,-1.613592931185265
$\nu=$10.0,310.18518518518516,-1.5959564652607654,-1.7787662861997815,-1.6134995205921037
$\nu=$10.0,311.3426851851852,-1.5977527730131227,-1.7710394940793197,-1.613430722423309
$\nu=$10.0,312.50011574074074,-1.5990023122387018,-1.7838761785299406,-1.6133148773627433
$\nu=$10.0,313.65743055555555,-1.5982116982990506,-1.783077266581644,-1.6132393297154501
$\nu=$10.0,314.8148611111111,-1.5905820249821983,-1.7850081966907407,-1.6131590196358507
$\nu=$10.0,315.97226851851855,-1.5879574026614343,-1.813351157800682,-1.6130850903520004
$\nu=$10.0,317.1297222222222,-1.5893350247683633,-1.795378191232486,-1.6129977252876322
$\nu=$10.0,318.2871759259259,-1.5939936349623247,-1.7887739952163753,-1.6129650734033438
$\nu=$10.0,319.4445601851852,-1.6026292217926046,-1.790394004147126,-1.6129058519102546
$\nu=$10.0,320.6019444444444,-1.6037986782271674,-1.7927971513753573,-1.612566154553407
$\nu=$10.0,321.75939814814814,-1.5998057433451185,-1.7850973027319958,-1.6124895141357318
$\nu=$10.0,322.9166898148148,-1.5979996844398792,-1.7946791650806004,-1.612386772364683
$\nu=$10.0,324.07409722222224,-1.600072064092426,-1.7891977441476816,-1.6122820385104315
$\nu=$10.0,325.2315046296296,-1.599892886934914,-1.7816787846578044,-1.6121691140243721
$\nu=$10.0,326.3888888888889,-1.5994238180140454,-1.7750945245306047,-1.6121746745107526
$\nu=$10.0,327.54631944444446,-1.5969130826891755,-1.7727966165725368,-1.6120964827360882
$\nu=$10.0,328.7037731481482,-1.5978118949890496,-1.7660677794185138,-1.6119276486388578
$\nu=$10.0,329.8612268518518,-1.5994766475893707,-1.7580348284643248,-1.6116597724657113
$\nu=$10.0,331.0185416666667,-1.595289904846078,-1.7536114119316946,-1.611481666704009
$\nu=$10.0,332.17597222222224,-1.5982993525681848,-1.7569688259509044,-1.611364357464638
$\nu=$10.0,333.33337962962963,-1.6000467148368491,-1.7528011296803896,-1.6116513274756952
$\nu=$10.0,334.49076388888886,-1.5979453395710448,-1.7490233684809389,-1.6113167336433154
