pressure_bar,temperature_K,H2O_D1mm_timescale_s,H2O_D2mm_timescale_s,H2O_D5mm_timescale_s,H2O_D10mm_timescale_s,NH3_D1mm_timescale_s,NH3_D2mm_timescale_s,NH3_D5mm_timescale_s,NH3_D10mm_timescale_s,realistic_pressure_bar,H2O_realistic_timescale_s,NH3_realistic_timescale_s
8.68170907e+00,2.98631662e+02,1.76062650e+02,7.04250599e+02,4.40156625e+03,1.76062650e+04,9.94747762e-01,3.97899105e+00,2.48686940e+01,9.94747762e+01,8.68170907e+00,7.08976982e+00,9.95231000e-03
8.19302073e+00,2.93493917e+02,2.36225096e+02,9.44900385e+02,5.90562741e+03,2.36225096e+04,1.11610994e+00,4.46443977e+00,2.79027486e+01,1.11610994e+02,8.19302073e+00,1.94105178e+01,1.11666325e-02
7.72502187e+00,2.88046843e+02,3.26987530e+02,1.30795012e+03,8.17468824e+03,3.26987530e+04,1.26951988e+00,5.07807953e+00,3.17379971e+01,1.26951988e+02,7.72502187e+00,2.98919378e+01,1.27018638e-02
7.27710756e+00,2.82218427e+02,4.70662691e+02,1.88265076e+03,1.17665673e+04,4.70662691e+04,1.46906701e+00,5.87626804e+00,3.67266753e+01,1.46906701e+02,7.27710756e+00,2.97629777e+01,1.47010233e-02
6.84831465e+00,2.76722616e+02,6.74529532e+02,2.69811813e+03,1.68632383e+04,6.74529532e+04,1.69987633e+00,6.79950530e+00,4.24969081e+01,1.69987633e+02,6.84831465e+00,3.60942323e+01,1.70146632e-02
6.43804737e+00,2.71599009e+02,9.72311530e+02,3.88924612e+03,2.43077883e+04,9.72311530e+04,1.96268834e+00,7.85075336e+00,4.90672085e+01,1.96268834e+02,6.43804737e+00,5.00460422e+01,1.96493370e-02
6.04604580e+00,2.66703176e+02,1.44561769e+03,5.78247074e+03,3.61404421e+04,1.44561769e+05,2.26842432e+00,9.07369730e+00,5.67106081e+01,2.26842432e+02,6.04604580e+00,6.81583172e+01,2.27117802e-02
5.67200353e+00,2.61899350e+02,2.16542947e+03,8.66171786e+03,5.41357366e+04,2.16542947e+05,2.63426436e+00,1.05370574e+01,6.58566090e+01,2.63426436e+02,5.67200353e+00,9.02084493e+01,2.63718250e-02
5.31533366e+00,2.57079111e+02,3.29954328e+03,1.31981731e+04,8.24885820e+04,3.29954328e+05,3.08493525e+00,1.23397410e+01,7.71233814e+01,3.08493525e+02,5.31533366e+00,1.26156912e+02,3.08798653e-02
4.97530435e+00,2.52237302e+02,5.12221756e+03,2.04888703e+04,1.28055439e+05,5.12221756e+05,3.64599299e+00,1.45839720e+01,9.11498247e+01,3.64599299e+02,4.97530435e+00,1.88124063e+02,3.64951526e-02
4.65125468e+00,2.47392023e+02,8.09714434e+03,3.23885773e+04,2.02428608e+05,8.09714434e+05,4.34873145e+00,1.73949258e+01,1.08718286e+02,4.34873145e+02,4.65125468e+00,2.99797366e+02,4.35311583e-02
4.34263866e+00,2.42551266e+02,1.30380447e+04,5.21521787e+04,3.25951117e+05,1.30380447e+06,5.23618764e+00,2.09447506e+01,1.30904691e+02,5.23618764e+02,4.34263866e+00,5.12531000e+02,5.24181439e-02
4.04897402e+00,2.37708012e+02,2.14240103e+04,8.56960412e+04,5.35600257e+05,2.14240103e+06,6.37039405e+00,2.54815762e+01,1.59259851e+02,6.37039405e+02,4.04897402e+00,9.41006661e+02,6.37764359e-02
3.76980508e+00,2.32859746e+02,3.59814453e+04,1.43925781e+05,8.99536133e+05,3.59814453e+06,7.83742641e+00,3.13497056e+01,1.95935660e+02,7.83742641e+02,3.76980508e+00,1.83525500e+03,7.84667625e-02
3.50469323e+00,2.28013213e+02,6.18071779e+04,2.47228712e+05,1.54517945e+06,6.18071779e+06,9.75542769e+00,3.90217108e+01,2.43885692e+02,9.75542769e+02,3.50469323e+00,3.80083823e+03,9.76705905e-02
3.25321214e+00,2.23177879e+02,1.08624899e+05,4.34499595e+05,2.71562247e+06,1.08624899e+07,1.22895762e+01,4.91583047e+01,3.07239404e+02,1.22895762e+03,3.25321214e+00,8.53746005e+03,1.23040661e-01
3.01494052e+00,2.18360052e+02,1.95449703e+05,7.81798814e+05,4.88624259e+06,1.95449703e+07,1.56766716e+01,6.27066863e+01,3.91916789e+02,1.56766716e+03,3.01494052e+00,2.13460695e+04,1.56948174e-01
2.78945639e+00,2.13559094e+02,3.60598659e+05,1.44239464e+06,9.01496648e+06,3.60598659e+07,2.02660509e+01,8.10642037e+01,5.06651273e+02,2.02660509e+03,2.78945639e+00,6.05268404e+04,2.02894187e-01
2.57633571e+00,2.08771247e+02,6.83612739e+05,2.73445095e+06,1.70903185e+07,6.83612739e+07,2.65808009e+01,1.06323204e+02,6.64520022e+02,2.65808009e+03,2.57633571e+00,2.01353069e+05,2.66124138e-01
2.37515241e+00,2.03984690e+02,1.33632317e+06,5.34529269e+06,3.34080793e+07,1.33632317e+08,3.54331684e+01,1.41732674e+02,8.85829211e+02,3.54331684e+03,2.37515241e+00,7.99181839e+05,3.54786910e-01
