level,-nu-0.01_pressure_bar,-nu-0.01_H2O_vapor_mean,-nu-0.01_H2O_vapor_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_vapor_mean,-nu-0.1_H2O_vapor_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_vapor_mean,-nu-1.0_H2O_vapor_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_vapor_mean,-nu-10.0_H2O_vapor_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_vapor_mean,-nu-100.0_H2O_vapor_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
40,24.487998126249998,0.024973819701001047,1.7208575332788e-05,0.0,0.0,1.873749462009789e-33,1.357990811125865e-32,24.4887423925,0.024992252455092966,1.1217235362006551e-05,0.0,0.0,3.8754125701787535e-35,2.9360713424909376e-34,24.50483570875,0.024960834443569183,5.780594728371203e-06,0.0,0.0,8.19213772548882e-34,5.462543393349314e-33,24.841142611250003,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,27.67439375,0.02496454119682312,0.0,0.0,0.0,0.0,0.0
41,23.4568279475,0.024972938856109978,1.8182240925527995e-05,0.0,0.0,2.719727828656963e-32,1.9690750373018646e-31,23.45752774625,0.02499202483240515,1.2092002201851445e-05,0.0,0.0,5.633555124390333e-34,4.270083247056596e-33,23.47386830875,0.024960527368821202,9.78157761309491e-06,0.0,0.0,1.1906536635803649e-32,7.938844832865891e-32,23.8123664775,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,26.67549271,0.024964540576562284,8.778395821249858e-10,0.0,0.0,0.0,0.0
42,22.45705251375,0.02497194990515709,1.9106078525646526e-05,0.0,0.0,3.948010483584931e-31,2.8555271553456065e-30,22.457709542499998,0.024991640920750798,1.3405139775495024e-05,0.0,0.0,8.189298156479667e-33,6.210204253335349e-32,22.4742954175,0.02495852379873395,1.3807892542773561e-05,0.0,0.0,1.7304742070615065e-31,1.1537554180413204e-30,22.81473120625,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,25.705436000000002,0.02496453933417797,0.0,0.0,0.0,0.0,0.0
43,21.4880916575,0.02497088005580008,1.9939655187714504e-05,0.0,0.0,5.731101655633579e-30,4.1412884409757634e-29,21.488706827500003,0.02499115666002035,1.474509306871986e-05,0.0,0.0,1.1903660438231254e-31,9.031147660673276e-31,21.505534976249997,0.024955696723423897,1.779539584086026e-05,0.0,0.0,2.5148244453010048e-30,1.676633601203486e-29,21.847658185,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,24.76362001375,0.02496453933417797,0.0,0.0,0.0,0.0,0.0
44,20.549368402499997,0.02496977032814175,2.0786148618881227e-05,0.0,0.0,8.318941098409961e-29,6.005847919715256e-28,20.549943085,0.024990548447705804,1.5803992860006834e-05,0.0,0.0,1.7300061285334417e-30,1.3131391493906766e-29,20.5670074475,0.02495340847875923,2.1520283251045903e-05,0.0,0.0,3.654055218602845e-29,2.436087612859858e-28,20.910574108125,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,23.84944875,0.02496453933417797,0.0,0.0,0.0,0.0,0.0
45,19.64031042125,0.024968597758561372,2.176620368220668e-05,0.0,0.0,1.2073404725047184e-27,8.709109487266806e-27,19.64084481,0.02498976611532271,1.7137462983463493e-05,0.0,0.0,2.51362725951e-29,1.9087962933671372e-28,19.658133753125,0.024952005779370665,2.3262463645950932e-05,0.0,0.0,5.307832483983064e-28,3.538565021251927e-27,20.002908273750002,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,22.962337,0.02496453879028559,8.469117929625746e-10,0.0,0.0,0.0,0.0
46,18.76034848125,0.02496727295219898,2.2908969611959704e-05,0.0,0.0,1.751765317516671e-26,1.2626969677830407e-25,18.76084297375,0.024988799987360834,1.896292890317191e-05,0.0,0.0,3.6507133979200073e-28,2.773472213900881e-27,18.778336026875,0.024951405993662773,2.2637323437859923e-05,0.0,0.0,7.706812974004854e-27,5.1378502367498166e-26,19.124095031875,0.024964526295661926,0.0,0.0,0.0,0.0,0.0,22.101708624999997,0.02496453747153282,0.0,0.0,0.0,0.0,0.0
47,17.908915985625,0.024965688517317175,2.4191087227250253e-05,0.0,0.0,2.540595029923448e-25,1.8301480319764088e-24,17.909371344375,0.024987693330273033,2.0866268640360997e-05,0.0,0.0,5.2990977087271105e-27,4.02740695120068e-26,17.92704123375,0.024951479172334076,2.2173943458241462e-05,0.0,0.0,1.1183315944325487e-25,7.455503580826625e-25,18.273572206875,0.02496452627144754,2.1098927423098276e-10,0.0,0.0,0.0,0.0,21.266996000000002,0.02496453747153282,0.0,0.0,0.0,0.0,0.0
48,17.085451434375003,0.024963750853203237,2.5613420750581152e-05,0.0,0.0,3.682232360254997e-24,2.651169752065516e-23,17.085868056875,0.024986488670110704,2.2638704266577838e-05,0.0,0.0,7.685601155724676e-26,5.843441685417352e-25,17.103679828125,0.024951706761494278,2.289078459040893e-05,0.0,0.0,1.6214662521364804e-24,1.0809746014769445e-23,17.450782020625,0.02496452585887164,7.891765043280591e-10,0.0,0.0,0.0,0.0,20.457641625,0.02496453747153282,0.0,0.0,0.0,0.0,0.0
49,16.289396955625,0.024961430057883264,2.734285311277834e-05,0.0,0.0,5.331936382574106e-23,3.837404942177647e-22,16.289775396875,0.024985086638480425,2.424284530666563e-05,0.0,0.0,1.1134680903781864e-24,8.468830308325679e-24,16.30768654625,0.024951343783177437,2.4393346445667664e-05,0.0,0.0,2.348343198467967e-23,1.565558702400248e-22,16.655170540624997,0.024964524991810323,8.535712389193177e-10,0.0,0.0,0.0,0.0,19.673094,0.02496453744545579,2.1884297047144938e-10,0.0,0.0,0.0,0.0
