level,-nu-0.01_pressure_bar,-nu-0.01_H2S_mean,-nu-0.01_H2S_std,-nu-0.01_NH4SH_s__mean,-nu-0.01_NH4SH_s__std,-nu-0.01_NH4SH_s_p__mean,-nu-0.01_NH4SH_s_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2S_mean,-nu-0.1_H2S_std,-nu-0.1_NH4SH_s__mean,-nu-0.1_NH4SH_s__std,-nu-0.1_NH4SH_s_p__mean,-nu-0.1_NH4SH_s_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2S_mean,-nu-1.0_H2S_std,-nu-1.0_NH4SH_s__mean,-nu-1.0_NH4SH_s__std,-nu-1.0_NH4SH_s_p__mean,-nu-1.0_NH4SH_s_p__std
50,15.51522194365,0.0002898002628668473,5.389428174886689e-05,0.0,0.0,1.2877612688339202e-07,9.035553749761131e-08,15.51515233640625,0.00029570913518356975,5.328159043551768e-05,0.0,0.0,1.1926600534137188e-07,8.647744008557683e-08,15.521500916231249,0.0003665467899495707,7.705068708425715e-05,0.0,0.0,1.3866583884453388e-07,9.804479134419185e-08
51,14.772115096981251,0.000291739422293831,5.541451851348993e-05,0.0,0.0,1.6398228594117547e-07,1.1370884641618295e-07,14.772049613850001,0.0002983226468802604,5.518550619858437e-05,0.0,0.0,1.517497245487043e-07,1.092131913418353e-07,14.778316062237499,0.00036918442900227093,7.820111454552524e-05,0.0,0.0,1.7231648715130275e-07,1.2071149826565212e-07
52,14.054789833856251,0.00029329451685924143,5.6463712957828e-05,0.0,0.0,2.0101707124348333e-07,1.3804778055625717e-07,14.0547284374875,0.00030041058327798963,5.656964394495898e-05,0.0,0.0,1.8582382039900924e-07,1.3298509920071535e-07,14.06091068821875,0.0003710473697096313,7.873265740124018e-05,0.0,0.0,2.0623173607196232e-07,1.4347887111808793e-07
53,13.3627039138625,0.00029436499529067076,5.691141099948055e-05,0.0,0.0,2.382128959862939e-07,1.623634902571074e-07,13.3626464899125,0.0003018274331149587,5.727840877162711e-05,0.0,0.0,2.1993355280889304e-07,1.567931282029449e-07,13.368742933693749,0.00037207815049761846,7.863059196469192e-05,0.0,0.0,2.3878583624420634e-07,1.6539633143001697e-07
54,12.6953196539,0.0002948402892555168,5.66069313710515e-05,0.0,0.0,2.740424659859153e-07,1.8576672661585848e-07,12.695265803075,0.00030244512549405046,5.7181772980159684e-05,0.0,0.0,2.5267361588603874e-07,1.7974700533513633e-07,12.7012748202875,0.00037226652086777903,7.791275766657254e-05,0.0,0.0,2.686670584498474e-07,1.8571688922719043e-07
55,12.05210440166875,0.00029456063875506514,5.532557873446248e-05,0.0,0.0,3.0730728022749785e-07,2.0758001856298595e-07,12.05205286435,0.0003021674669264758,5.621200510681959e-05,0.0,0.0,2.8296320053301295e-07,2.0116398896607694e-07,12.05797211864375,0.0003716641261283803,7.664656539871717e-05,0.0,0.0,2.950043481776987e-07,2.0394916598740424e-07
56,11.43253238388125,0.0002933257634720212,5.2875696816060654e-05,0.0,0.0,3.372302337891231e-07,2.273740852011498e-07,11.432479932275,0.00030093282622874537,5.437573088093559e-05,0.0,0.0,3.1012985269107674e-07,2.2061165038282228e-07,11.438304951800001,0.00037042447958243426,7.499208240117195e-05,0.0,0.0,3.1738713254323424e-07,2.1985532294585595e-07
57,10.836083076724998,0.00029121532305754957,4.9719547119346704e-05,0.0,0.0,3.6344104817340296e-07,2.449512604344572e-07,10.83602722739375,0.00029867728495737536,5.169748371102826e-05,0.0,0.0,3.339030237860774e-07,2.3789697878872288e-07,10.84175034821875,0.0003686351310986356,7.304134434993933e-05,0.0,0.0,3.3609196948516383e-07,2.3359091035143234e-07
58,10.262239877296874,0.0002887389272114524,4.658541600534138e-05,0.0,0.0,3.860021868981267e-07,2.6037673784531244e-07,10.262188713596876,0.0002953684100799728,4.8281458903897745e-05,0.0,0.0,3.5434469803810487e-07,2.5302754453862425e-07,10.267800040584376,0.00036497969259398816,6.992469285963906e-05,0.0,0.0,3.5303718460377275e-07,2.46137134102823e-07
59,9.710482985471875,0.00028597340380219976,4.32515438735683e-05,0.0,0.0,4.059861127027631e-07,2.742325259117655e-07,9.710471050065625,0.0002908816565103916,4.401825059108508e-05,0.0,0.0,3.7229829903163037e-07,2.6646726416705655e-07,9.71596360265,0.00035813737976015547,6.538389837032421e-05,0.0,0.0,3.6902781719520217e-07,2.579076747121163e-07
60,9.18030102474375,0.00028275567141572536,3.926183831962422e-05,0.0,0.0,4.2451017428632554e-07,2.871631533805607e-07,9.18039676078125,0.0002851187940341333,3.836576875618224e-05,0.0,0.0,3.892217313607471e-07,2.790463682349143e-07,9.185768472440625,0.0003476814645368722,5.870462925754007e-05,0.0,0.0,3.8472500626206773e-07,2.693339362484745e-07
61,8.671191920178126,0.00027924141897732625,3.423091974806643e-05,0.0,0.0,4.4259850915490337e-07,2.998291528703277e-07,8.6715007497875,0.0002798452434583305,3.1766028499077915e-05,0.0,0.0,4.058581594646249e-07,2.912910356449296e-07,8.6767496255375,0.0003339380469587195,4.814204736405898e-05,0.0,0.0,4.0092305599278787e-07,2.8095436789649025e-07
