level,-nu-0.01_pressure_bar,-nu-0.01_H2O_mean,-nu-0.01_H2O_std,-nu-0.01_H2O_l__mean,-nu-0.01_H2O_l__std,-nu-0.01_H2O_l_p__mean,-nu-0.01_H2O_l_p__std,-nu-0.1_pressure_bar,-nu-0.1_H2O_mean,-nu-0.1_H2O_std,-nu-0.1_H2O_l__mean,-nu-0.1_H2O_l__std,-nu-0.1_H2O_l_p__mean,-nu-0.1_H2O_l_p__std,-nu-1.0_pressure_bar,-nu-1.0_H2O_mean,-nu-1.0_H2O_std,-nu-1.0_H2O_l__mean,-nu-1.0_H2O_l__std,-nu-1.0_H2O_l_p__mean,-nu-1.0_H2O_l_p__std,-nu-10.0_pressure_bar,-nu-10.0_H2O_mean,-nu-10.0_H2O_std,-nu-10.0_H2O_l__mean,-nu-10.0_H2O_l__std,-nu-10.0_H2O_l_p__mean,-nu-10.0_H2O_l_p__std,-nu-100.0_pressure_bar,-nu-100.0_H2O_mean,-nu-100.0_H2O_std,-nu-100.0_H2O_l__mean,-nu-100.0_H2O_l__std,-nu-100.0_H2O_l_p__mean,-nu-100.0_H2O_l_p__std
56,11.471245484374998,0.024968623095192016,4.0224254667330525e-05,0.0,0.0,1.869579147679318e-15,2.625604567850003e-14,11.4763469,0.025039088283665478,6.841662628381664e-05,0.0,0.0,6.938030934460397e-15,4.4359535062228644e-14,11.62627908875,0.025687039976008238,1.5157535114289421e-05,0.0,0.0,8.421858353359214e-16,3.0957193978105353e-15,13.183625757500002,0.024958068953827024,9.64709876372636e-06,0.0,0.0,0.0,0.0,19.562683613125,0.02496452686470002,9.725578591815334e-08,0.0,0.0,0.0,0.0
57,10.87395640625,0.024957782545126976,4.184487111287504e-05,0.0,0.0,2.5981939045126004e-14,3.649917381664661e-13,10.878917626249999,0.025016016833484173,7.383752210127995e-05,2.802596928649634e-48,1.253046070158965e-46,9.636058239005657e-14,6.161034050709209e-13,11.027129435625,0.02569092659652233,1.4503754000384804e-05,0.0,0.0,1.1829727341275151e-14,4.347859941689466e-14,12.580598841250001,0.024954963479191065,1.4338086619433255e-05,0.0,0.0,0.0,0.0,18.96702725,0.024964439453557134,1.7156387438025655e-07,0.0,0.0,0.0,0.0
58,10.2992422690625,0.024940696442499757,4.5216473786805614e-05,7.006492321624086e-49,3.1326151753974123e-47,3.5421946930081916e-13,4.977220230983337e-12,10.30405078125,0.024984987223520876,7.904183322742422e-05,5.605193857299268e-48,1.5967425534935264e-46,1.3128483012476673e-12,8.392969861743128e-12,10.450328611875,0.02569177559763193,1.5849669880787238e-05,7.006492321624086e-49,3.1326151753974123e-47,1.6388940482981587e-13,6.022853985442589e-13,11.998943798750002,0.02493405551183969,2.462679980355278e-05,0.0,0.0,0.0,0.0,18.388632861250002,0.024964894670061768,3.80062463415565e-07,0.0,0.0,0.0,0.0
59,9.746602305,0.024908500231802463,5.2578571073550296e-05,0.0,0.0,4.689386005084112e-12,6.590591524171954e-11,9.7512303228125,0.024939587564207614,8.886306214125806e-05,1.3434644703356504e-31,4.017044831380282e-30,1.737050955688053e-11,1.1102759709576287e-10,9.8953370359375,0.02569022493623197,1.863534245980053e-05,2.802596928649634e-48,6.260527312210774e-47,2.2229219283387133e-12,8.167818598716676e-12,11.438179483125,0.02484662785567343,3.891921975171168e-05,0.0,0.0,0.0,0.0,17.827031599375,0.02496400878112763,7.155814572819012e-07,0.0,0.0,0.0,0.0
60,9.215578118437499,0.024830907584168015,6.350524103276979e-05,4.603276143277039e-33,1.3370532206752405e-31,5.916225091845659e-11,8.321070236108008e-10,9.219972238125,0.024861283384263515,0.00011627942757710748,1.0282642816670726e-28,3.694042786298274e-27,2.1912503193030814e-10,1.4012098909784598e-09,9.3616505996875,0.02568513284251094,2.184280354093631e-05,2.709280469054395e-32,6.300106514681447e-31,2.917300771628908e-11,1.0717493860604419e-10,10.897855190000001,0.024621197355911135,4.8042947324420824e-05,0.0,0.0,0.0,0.0,17.281765821249998,0.024965463869273664,2.906308207749833e-06,0.0,0.0,0.0,0.0
61,8.705914209374999,0.024610958739183845,0.00011342793588535025,2.5782627928751635e-31,7.123010147075795e-30,6.797996231016948e-10,9.557719441186115e-09,8.709961271875,0.024695787041448057,0.0002304823019117095,9.351035727908758e-17,2.141144228156167e-15,2.513375455506517e-09,1.607161086113204e-08,8.8489135821875,0.025676594883203507,3.991158216574962e-05,1.9394757128172345e-28,6.992907895572865e-27,3.6244416325228093e-10,1.3316508446950067e-09,10.377544511875,0.024211127280257642,5.1798381837456694e-05,0.0,0.0,0.0,0.0,16.75238990875,0.0249677373515442,5.163200330202093e-06,0.0,0.0,0.0,0.0
62,8.2177330121875,0.023955075993202627,0.00029222819957824006,9.023546934160451e-17,2.0481477374038205e-15,6.520575743798835e-09,9.153410581710164e-08,8.2212895415625,0.024224900889210404,0.0006172784818403112,6.449969692485739e-12,1.0057879849616729e-10,2.4030518483805192e-08,1.5373474612661006e-07,8.3570539646875,0.02566478342935443,0.00011740286375499363,4.521646820322268e-16,6.204058321004391e-15,4.051851957762547e-09,1.4882952595893175e-08,9.87681552875,0.02366391466744244,5.368350631802477e-05,0.0,0.0,0.0,0.0,16.238471421874998,0.024966159080155193,3.1225368126711104e-06,0.0,0.0,0.0,0.0
63,7.75118928875,0.021903906994499265,0.0003367456189693301,1.2325055544830644e-11,1.7054726583244165e-10,4.1769598622094316e-08,5.654437556385098e-07,7.7542780753125,0.021955786310136317,0.0007660142968838199,4.6628341239978325e-07,5.878779054398387e-06,1.4762152615765514e-07,9.208506264865972e-07,7.8863300940625,0.025579359133727848,0.000347999336942588,3.891352999905121e-11,4.0883242843274626e-10,3.710713445375017e-08,1.362461773659192e-07,9.395174156875001,0.023193558014929293,8.680122400875688e-05,0.0,0.0,0.0,0.0,15.739588021875,0.024966884745284915,9.131587467552917e-06,0.0,0.0,0.0,0.0
64,7.3056888190625004,0.01766062732320279,0.00039271410201637756,1.3618988085019347e-06,1.1585162034981378e-05,9.680579756948094e-08,1.0384575578689505e-06,7.308638896874999,0.017205492504872383,0.0010407042854382264,7.374661574294821e-06,4.35657517353174e-05,3.0591765977535565e-07,1.8220285753526667e-06,7.4370587796875,0.02411963168438524,0.000343685014453381,2.3531256050729787e-06,1.458252320500459e-05,2.133177766832395e-07,7.716585506269198e-07,8.9320969353125,0.022747866744175553,6.332828560892209e-05,0.0,0.0,0.0,0.0,15.255328339375,0.02496858058590442,8.623018546033777e-06,0.0,0.0,0.0,0.0
65,6.879932985625,0.01289052924560383,0.000539591545239195,2.870960679838102e-06,3.533759664737124e-05,1.0764831473667439e-07,1.0407533750032632e-06,6.8832180078125,0.01224828873714432,0.0012644301785447597,7.779929654550374e-06,6.0566952955462665e-05,2.728933659307005e-07,1.996984295220367e-06,7.0088714953125,0.020184771887026727,0.0004688675112937753,1.271010968970546e-05,5.4203772408665304e-05,3.235449687865184e-07,1.1590827733209704e-06,8.4871936884375,0.02175819176621735,0.000124759260774543,0.0,0.0,0.0,0.0,14.785289196875,0.02498096973542124,8.693141593846307e-06,0.0,0.0,0.0,0.0
